uid,orig_commodity,orig_first_period,orig_last_period,orig_status,n_steps_in_chain,journey,family_id,latest_commodity,final_status
IMR_0419,"3005.90.99.00 - Dressings and similar articles packaged for medical use, nes (Terminated 1997-12)",1988-01-01,1997-12-01,ended_1997-12,2,3005.90.99.00 -> 3005.90.00.90,IM_0204,"3005.90.00.90 - Wadding,gauze,bandages & sim art, packaged for retail sale & for medical use,nes",active
IMR_0420,3006.10.00.10 - Sterile surgical catgut & similar sterile suture mat for surgical wound closure,1988-01-01,2001-12-01,ended_2001-12,1,3006.10.00.10,IM_0211,"3006.10.00.10 - Sterile surgical catgut & similar sterile suture mat, for surgical wound closure",active
IMR_0421,"3006.10.00.10 - Sterile surgical catgut & similar sterile suture mat, for surgical wound closure",2002-01-01,2025-12-01,active,1,3006.10.00.10,IM_0211,"3006.10.00.10 - Sterile surgical catgut & similar sterile suture mat, for surgical wound closure",active
IMR_0422,"3006.10.00.90 - Laminaria & laminaria tents, sterile; sterile absorbable surg/dental haemostatic",1988-01-01,2025-12-01,active,1,3006.10.00.90,IM_0212,"3006.10.00.90 - Laminaria & laminaria tents, sterile; sterile absorbable surg/dental haemostatic",active
IMR_0423,"3006.20.00.10 - Blood-grouping reagents, of human origin (Terminated 2011-12)",1998-01-01,2011-12-01,ended_2011-12,2,3006.20.00.10 -> 3006.20.00.90,IM_0213,"3006.20.00.90 - Blood-grouping reagents, other than of animal origin, nes (Terminated 2021-12)",ended_2021-12
IMR_0424,"3006.20.00.20 - Blood-grouping reagents, of animal origin (Terminated 2021-12)",1998-01-01,2021-12-01,ended_2021-12,1,3006.20.00.20,IM_0214,"3006.20.00.20 - Blood-grouping reagents, of animal origin (Terminated 2021-12)",ended_2021-12
IMR_0425,"3006.20.00.90 - Blood-grouping reagents, except of human or animal origin (Terminated 2021-12)",1998-01-01,2011-12-01,ended_2011-12,1,3006.20.00.90,IM_0213,"3006.20.00.90 - Blood-grouping reagents, other than of animal origin, nes (Terminated 2021-12)",ended_2021-12
IMR_0426,"3006.20.00.90 - Blood-grouping reagents, other than of animal origin, nes (Terminated 2021-12)",2012-01-01,2021-12-01,ended_2021-12,1,3006.20.00.90,IM_0213,"3006.20.00.90 - Blood-grouping reagents, other than of animal origin, nes (Terminated 2021-12)",ended_2021-12
IMR_0427,"3006.20.10.00 - Blood-grouping reagents, of human origin (Terminated 1997-12)",1988-01-01,1997-12-01,ended_1997-12,3,3006.20.10.00 -> 3006.20.00.10 -> 3006.20.00.90,IM_0213,"3006.20.00.90 - Blood-grouping reagents, other than of animal origin, nes (Terminated 2021-12)",ended_2021-12
IMR_0428,"3006.20.20.00 - Blood-grouping reagents, of animal origin (Terminated 1997-12)",1988-01-01,1997-12-01,ended_1997-12,2,3006.20.20.00 -> 3006.20.00.20,IM_0214,"3006.20.00.20 - Blood-grouping reagents, of animal origin (Terminated 2021-12)",ended_2021-12
