span_id,flow,hs_code,description,first_period,last_period,value_cad,codes_in_journey,succession_hops,rewordings_passed,journey,terminal_code,terminal_description,terminal_first_period,terminal_last_period,terminal_status
imports:3002.49.00.10:2022-01,imports,3002.49.00.10,"Cultures, of micro-organisms (excluding yeasts) and similar products",202201,202606,285149673,1,0,0,3002.49.00.10,3002.49.00.10,"Cultures, of micro-organisms (excluding yeasts) and similar products",202201,202606,active
imports:3002.49.00.20:2022-01,imports,3002.49.00.20,Toxins and similar products,202201,202606,836054441,1,0,0,3002.49.00.20,3002.49.00.20,Toxins and similar products,202201,202606,active
imports:3002.49.00.90:2022-01,imports,3002.49.00.90,"Vaccines,toxins,cultures of micro-organisms (excl yeasts) & similar products,nes",202201,202606,405195810,1,0,0,3002.49.00.90,3002.49.00.90,"Vaccines,toxins,cultures of micro-organisms (excl yeasts) & similar products,nes",202201,202606,active
imports:3002.51.00.00:2022-01,imports,3002.51.00.00,"Cell therapy products, whether or not modified",202201,202606,482025290,1,0,0,3002.51.00.00,3002.51.00.00,"Cell therapy products, whether or not modified",202201,202606,active
imports:3002.59.00.00:2022-01,imports,3002.59.00.00,"Cell cultures, whether or not modified, nes",202201,202606,41094630,1,0,0,3002.59.00.00,3002.59.00.00,"Cell cultures, whether or not modified, nes",202201,202606,active
imports:3002.90.00.10:2017-01,imports,3002.90.00.10,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates",201701,202112,825580243,2,1,0,3002.90.00.10 -> 3002.49.00.20,3002.49.00.20,Toxins and similar products,202201,202606,active
imports:3002.90.00.11:1998-01,imports,3002.90.00.11,Ricin,199801,201609,74680,3,2,0,3002.90.00.11 -> 3002.90.00.10 -> 3002.49.00.20,3002.49.00.20,Toxins and similar products,202201,202606,active
imports:3002.90.00.12:2000-03,imports,3002.90.00.12,Saxitoxin,200003,201610,578,3,2,0,3002.90.00.12 -> 3002.90.00.10 -> 3002.49.00.20,3002.49.00.20,Toxins and similar products,202201,202606,active
imports:3002.90.00.19:1998-01,imports,3002.90.00.19,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates, nes",199801,201612,836383694,3,2,0,3002.90.00.19 -> 3002.90.00.10 -> 3002.49.00.20,3002.49.00.20,Toxins and similar products,202201,202606,active
imports:3002.90.00.20:1998-01,imports,3002.90.00.20,Butter-making ferment cultures,199801,201612,17636239,2,1,1,3002.90.00.20 -> 3002.90.00.90,3002.90.00.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",202201,202606,active
