hs_code,description,heading,subheading,first_period,last_period,months_with_trade,longest_quiet_months,source_rows,total_value_cad,stated_termination,stated_introduction,stated_termination_matches_data,stated_termination_is_this_life
3002901020,Ferment cultures,3002,300290,198801,199712,120,0,928,17995840,199712,,yes,yes
3002901030,Dried blood of human origin,3002,300290,198801,199712,81,15,130,5096986,199712,,yes,yes
3002901040,Dried blood of animal origin,3002,300290,198801,199712,111,1,292,2070092,199712,,yes,yes
3002909010,Bacteria culture inoculants for seeds,3002,300290,198801,199712,91,6,399,30779871,199712,,yes,yes
3002909020,Whole human blood,3002,300290,199104,199706,20,11,25,1607419,199712,,no,yes
3002909030,Antiallergenic preparations of microbial origin,3002,300290,199004,199709,16,44,17,96578,199712,,no,yes
3002909090,"Human blood, animal blood for therap, prophltc or diag uses, microbial prep, nes",3002,300290,198801,199712,120,0,3986,69506433,199712,,yes,yes
3003100000,"Penicillins or streptomycins & their derivatives, formulated, in bulk",3003,300310,198801,200112,147,4,307,3446348,,,,
3003100000,"Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,nfrs",3003,300310,200201,202606,287,2,2394,14725386,,,,
3003200000,"Antibiotics, nes, formulated, in bulk",3003,300320,198801,200112,168,0,1282,63884112,,,,
3003200000,"Medicaments,cont antibiotics,nes,mix,for therap/prophltc,nfrs,o/t No 30.02/05/06",3003,300320,200201,202606,294,0,3358,2760595833,,,,
3003310000,"Medicaments,cont insulin,mixed,not in doses/forms/pack/frs,o/t No 30.02/05/06",3003,300331,201201,202603,97,11,142,2797436,,,,
3003310010,"Insulin, prepared for parenteral administration in humans, in bulk",3003,300331,199802,201108,43,11,53,77748,201112,,no,yes
3003310090,"Insulin, formulated, in bulk, nes",3003,300331,199801,201112,114,7,213,5331921,201112,,yes,yes
3003311000,"Insulin, prepared for parenteral administration in humans, in bulk",3003,300331,198803,199710,44,13,57,4350765,199712,,no,yes
3003319100,"Insulin, cont more than 23% of absolute ethyl alcohol by volume, in bulk",3003,300331,198802,199005,14,8,15,129843,199712,,no,yes
3003319900,"Insulin, formulated, in bulk, nes",3003,300331,198801,199712,88,7,200,3974845,199712,,yes,yes
3003390000,"Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,nfrs",3003,300339,201201,202606,174,0,3710,148260150,,,,
3003390010,"Epinephrine & its solutions, prepared for parenteral admin in humans, in bulk",3003,300339,199801,200110,35,3,63,1416380,201112,,no,no
3003390010,"Epinephrine and its solutions, prepared for parenteral admin in humans, in bulk",3003,300339,200201,201112,68,5,83,2746002,201112,,yes,yes
3003390090,"Hormones, nes, not containing antibiotics, in bulk, o/t contraceptives",3003,300339,199801,201112,168,0,1665,151533683,201112,,yes,yes
3003391000,"Epinephrine & its solutions, prepared for parenteral admin in humans, in bulk",3003,300339,198801,199712,75,7,108,724092,199712,,yes,yes
3003399100,"Hormones, containing more than 23% of absolute ethyl alcohol by volume, in bulk",3003,300339,198801,199707,6,83,6,10184,199712,,no,yes
3003399900,"Hormones, nes, not cont antibiotics, in bulk, o/t contraceptives",3003,300339,198801,199712,120,0,843,41099945,199712,,yes,yes
3003400000,"Alkaloids or their derivs, formulated, not cont antibiotics/hormones, in bulk",3003,300340,199801,201612,226,1,1019,112415829,201612,,yes,yes
3003401000,"Alkaloids or their derivs, cont more than 23% of absol ethyl alc by vol, in bulk",3003,300340,199203,199308,6,5,7,12838,199712,,no,yes
3003409000,"Alkaloids or their derivs, formltd, not cont antibiotics or horm, in bulk, nes",3003,300340,198802,199712,88,5,173,3954586,199712,,yes,yes
3003410000,"Medicaments,cont ephedrin/salts,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",3003,300341,201706,202605,24,15,25,14190,,,,
3003420000,"Medicaments,cont pseudoephedrine/sa,mix,therap/prophltc,nfrs,o/t No 30.02/05/06",3003,300342,202209,202401,4,6,5,193,,,,
3003430000,"Medicaments,cont norephedrine/salts,mix,therap/prophltc,nfrs,o/t No 30.02/05/06",3003,300343,201701,202506,27,17,44,21630,,,,
3003490000,"Medi,cont alkaloids/deriv t/o,nes,mix,f therap/prophltc,nfrs,o/t No 30.02/05/06",3003,300349,201701,202606,111,1,570,9095501,,,,
