too_recent_to_call,retirement_basis,months_before_delivery_end,retiring_code,span_index,span_count,span_first_period,flow,heading,subheading,last_period,boundary,total_value_cad,description,subheading_survives,at_hs_revision_boundary,wco_table,cbsa_concordance_covers,tariff_schedule_covers,narrowest_tier,narrowest_count,n_same_subheading,n_same_heading,n_same_chapter,n_any_alive,n_continuous,n_alive_after_ignoring_continuity,candidates_continuous,n_born_at_boundary,n_carve_out,candidates_narrowest,candidates_outside_narrowest,candidates_born_at_boundary,candidates_carve_out
yes,trade_ceased_only,21,30034200,1,1,201905,exports,3003,300342,202409,202410,594838.00,"Medicaments,cont pseudoephedrine/sa,mix,therap/prophltc,nfrs,o/t No 30.02/05/06",no,no,,no,yes,same_heading,6,0,6,42,42,42,42,30031000;30032000;30033100;30033900;30034900;30039000,0,0,30031000;30032000;30033100;30033900;30034900;30039000,30012000;30019000;30021200;30021300;30021400;30021500;30024100;30024200;30024900;30025100;30025900;30029010;30029090;30041000;30042000;30043100;30043200;30043900;30044100;30044200;30044900;30045000;30046000;30049010;30049090;30051000;30059000;30061000;30063000;30064000;30065000;30066000;30067000;30069100;30069200;30069300,,
no,trade_ceased_only,34,30036000,1,1,201812,exports,3003,300360,202308,202309,7735481.00,"Medicaments,cont antimalarial active principles,mixed,nfrs,o/t No 30.02/05/06",no,no,,no,yes,same_heading,7,0,7,43,43,43,43,30031000;30032000;30033100;30033900;30034200;30034900;30039000,0,0,30031000;30032000;30033100;30033900;30034200;30034900;30039000,30012000;30019000;30021200;30021300;30021400;30021500;30024100;30024200;30024900;30025100;30025900;30029010;30029090;30041000;30042000;30043100;30043200;30043900;30044100;30044200;30044900;30045000;30046000;30049010;30049090;30051000;30059000;30061000;30063000;30064000;30065000;30066000;30067000;30069100;30069200;30069300,,
no,declared,450,30041010,1,1,198801,exports,3004,300410,198812,198901,3401123.00,"Penicillins or streptomycins and their derivatives,in dosage,for human use",yes,no,,no,no,same_subheading,1,1,15,63,63,30,63,30041000,7,0,30041000,30011000;30012000;30019000;30021000;30021100;30021200;30021300;30021400;30021500;30021900;30022000;30023000;30023010;30023090;30023100;30023900;30024100;30024200;30024900;30025100;30025900;30029000;30029010;30029020;30029090;30031000;30032000;30033100;30033900;30034000;30034100;30034200;30034900;30036000;30039000;30042000;30043100;30043200;30043900;30044000;30044100;30044200;30044300;30044900;30045000;30046000;30049000;30049010;30049090;30051000;30059000;30061000;30062000;30063000;30064000;30065000;30066000;30067000;30068000;30069100;30069200;30069300,30029000;30041000;30042000;30043200;30043900;30045000;30049000,
no,declared,450,30041020,1,1,198801,exports,3004,300410,198812,198901,992811.00,"Penicillins or streptomycins and their derivatives,in dosage,for vet use",yes,no,,no,no,same_subheading,1,1,15,63,63,30,63,30041000,7,0,30041000,30011000;30012000;30019000;30021000;30021100;30021200;30021300;30021400;30021500;30021900;30022000;30023000;30023010;30023090;30023100;30023900;30024100;30024200;30024900;30025100;30025900;30029000;30029010;30029020;30029090;30031000;30032000;30033100;30033900;30034000;30034100;30034200;30034900;30036000;30039000;30042000;30043100;30043200;30043900;30044000;30044100;30044200;30044300;30044900;30045000;30046000;30049000;30049010;30049090;30051000;30059000;30061000;30062000;30063000;30064000;30065000;30066000;30067000;30068000;30069100;30069200;30069300,30029000;30041000;30042000;30043200;30043900;30045000;30049000,
no,declared,450,30042010,1,1,198801,exports,3004,300420,198812,198901,7651667.00,"Antibiotics nes, in dosage, for human use",yes,no,,no,no,same_subheading,1,1,15,63,63,30,63,30042000,7,0,30042000,30011000;30012000;30019000;30021000;30021100;30021200;30021300;30021400;30021500;30021900;30022000;30023000;30023010;30023090;30023100;30023900;30024100;30024200;30024900;30025100;30025900;30029000;30029010;30029020;30029090;30031000;30032000;30033100;30033900;30034000;30034100;30034200;30034900;30036000;30039000;30041000;30043100;30043200;30043900;30044000;30044100;30044200;30044300;30044900;30045000;30046000;30049000;30049010;30049090;30051000;30059000;30061000;30062000;30063000;30064000;30065000;30066000;30067000;30068000;30069100;30069200;30069300,30029000;30041000;30042000;30043200;30043900;30045000;30049000,
no,declared,450,30042020,1,1,198801,exports,3004,300420,198812,198901,718992.00,"Antibiotics nes, in dosage, for veterinary use",yes,no,,no,no,same_subheading,1,1,15,63,63,30,63,30042000,7,0,30042000,30011000;30012000;30019000;30021000;30021100;30021200;30021300;30021400;30021500;30021900;30022000;30023000;30023010;30023090;30023100;30023900;30024100;30024200;30024900;30025100;30025900;30029000;30029010;30029020;30029090;30031000;30032000;30033100;30033900;30034000;30034100;30034200;30034900;30036000;30039000;30041000;30043100;30043200;30043900;30044000;30044100;30044200;30044300;30044900;30045000;30046000;30049000;30049010;30049090;30051000;30059000;30061000;30062000;30063000;30064000;30065000;30066000;30067000;30068000;30069100;30069200;30069300,30029000;30041000;30042000;30043200;30043900;30045000;30049000,
no,declared,450,30043210,1,1,198801,exports,3004,300432,198812,198901,3924008.00,"Adrenal cortical hormones, in dosage, for human use",yes,no,,no,no,same_subheading,1,1,15,63,63,30,63,30043200,7,0,30043200,30011000;30012000;30019000;30021000;30021100;30021200;30021300;30021400;30021500;30021900;30022000;30023000;30023010;30023090;30023100;30023900;30024100;30024200;30024900;30025100;30025900;30029000;30029010;30029020;30029090;30031000;30032000;30033100;30033900;30034000;30034100;30034200;30034900;30036000;30039000;30041000;30042000;30043100;30043900;30044000;30044100;30044200;30044300;30044900;30045000;30046000;30049000;30049010;30049090;30051000;30059000;30061000;30062000;30063000;30064000;30065000;30066000;30067000;30068000;30069100;30069200;30069300,30029000;30041000;30042000;30043200;30043900;30045000;30049000,
no,declared,451,30043220,1,1,198802,exports,3004,300432,198811,198812,47163.00,"Adrenal cortical hormones, in dosage, for veterinary use",yes,no,,no,no,same_subheading,2,2,25,73,73,43,73,30043200;30043210,0,0,30043200;30043210,30011000;30012000;30019000;30021000;30021100;30021200;30021300;30021400;30021500;30021900;30022000;30023000;30023010;30023090;30023100;30023900;30024100;30024200;30024900;30025100;30025900;30029000;30029010;30029020;30029090;30031000;30032000;30033100;30033900;30034000;30034100;30034200;30034900;30036000;30039000;30041000;30041010;30041020;30042000;30042010;30042020;30043100;30043900;30043910;30043920;30044000;30044100;30044200;30044300;30044900;30045000;30045010;30045020;30046000;30049000;30049010;30049020;30049090;30051000;30059000;30061000;30062000;30063000;30064000;30065000;30066000;30067000;30068000;30069100;30069200;30069300,,
no,declared,450,30043910,1,1,198801,exports,3004,300439,198812,198901,6819167.00,"Hormones nes, not containing antibiotics, in dosage,o/t contraceptive,human use",yes,no,,no,no,same_subheading,1,1,15,63,63,30,63,30043900,7,0,30043900,30011000;30012000;30019000;30021000;30021100;30021200;30021300;30021400;30021500;30021900;30022000;30023000;30023010;30023090;30023100;30023900;30024100;30024200;30024900;30025100;30025900;30029000;30029010;30029020;30029090;30031000;30032000;30033100;30033900;30034000;30034100;30034200;30034900;30036000;30039000;30041000;30042000;30043100;30043200;30044000;30044100;30044200;30044300;30044900;30045000;30046000;30049000;30049010;30049090;30051000;30059000;30061000;30062000;30063000;30064000;30065000;30066000;30067000;30068000;30069100;30069200;30069300,30029000;30041000;30042000;30043200;30043900;30045000;30049000,
no,declared,450,30043920,1,1,198801,exports,3004,300439,198812,198901,304529.00,"Hormones nes, not containing antibiotics, in dosage,o/t contraceptive,vet use",yes,no,,no,no,same_subheading,1,1,15,63,63,30,63,30043900,7,0,30043900,30011000;30012000;30019000;30021000;30021100;30021200;30021300;30021400;30021500;30021900;30022000;30023000;30023010;30023090;30023100;30023900;30024100;30024200;30024900;30025100;30025900;30029000;30029010;30029020;30029090;30031000;30032000;30033100;30033900;30034000;30034100;30034200;30034900;30036000;30039000;30041000;30042000;30043100;30043200;30044000;30044100;30044200;30044300;30044900;30045000;30046000;30049000;30049010;30049090;30051000;30059000;30061000;30062000;30063000;30064000;30065000;30066000;30067000;30068000;30069100;30069200;30069300,30029000;30041000;30042000;30043200;30043900;30045000;30049000,
