boundary,source_hs,target_hs,transfer_type,target_active_2025,target_life_span,applies_to_stage,collides_with_stage1,is_split_override_source,notes,applied,not_applied_reason
2011->2012,3003.90.00.99,3003.90.00.90,full_1to1,YES,2012-2025,stage_2,NO,NO,cbsa_class=agrees_direct; our_next=3003.90.00.90; our_family_terminal=3003.90.00.90,TRUE,
2011->2012,3004.10.00.11,3004.10.00.10,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3004.10.00.10; our_family_terminal=3004.10.00.10,TRUE,
2011->2012,3004.10.00.12,3004.10.00.10,full_1to1,YES,2012-2025,stage_2,NO,YES,cbsa_class=agrees_direct; our_next=3004.10.00.10; our_family_terminal=3004.10.00.10; SPLIT_OVERRIDES_source:match_variant_exactly,TRUE,
2011->2012,3004.10.00.13,3004.10.00.10,full_1to1,YES,2012-2025,stage_1,YES,YES,cbsa_class=agrees_reachable; our_next=3004.10.00.12; our_family_terminal=3004.10.00.10; contradicts_stage1=3004.10.00.12; SPLIT_OVERRIDES_source:match_variant_exactly,TRUE,
2011->2012,3004.10.00.19,3004.10.00.10,full_1to1,YES,2012-2025,stage_2,NO,NO,cbsa_class=agrees_direct; our_next=3004.10.00.10; our_family_terminal=3004.10.00.10,TRUE,
2011->2012,3004.10.00.20,3004.10.00.10,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3004.10.00.10; our_family_terminal=3004.10.00.10,TRUE,
2011->2012,3004.10.00.31,3004.10.00.90,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3004.10.00.90; our_family_terminal=3004.10.00.90,TRUE,
2011->2012,3004.10.00.32,3004.10.00.90,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3004.10.00.90; our_family_terminal=3004.10.00.90,TRUE,
2011->2012,3004.20.00.10,3004.20.00.19,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3004.20.00.19; our_family_terminal=3004.20.00.19,TRUE,
2011->2012,3004.20.00.20,3004.20.00.11,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3004.20.00.11; our_family_terminal=3004.20.00.11,TRUE,
2011->2012,3004.20.00.31,3004.20.00.13,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3004.20.00.13; our_family_terminal=3004.20.00.13,TRUE,
2011->2012,3004.20.00.39,3004.20.00.18,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=disagrees; our_next=3004.20.00.19; our_family_terminal=3004.20.00.19,TRUE,
2011->2012,3004.20.00.41,3004.20.00.19,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3004.20.00.19; our_family_terminal=3004.20.00.19,TRUE,
2011->2012,3004.20.00.49,3004.20.00.19,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3004.20.00.19; our_family_terminal=3004.20.00.19,TRUE,
2011->2012,3004.20.00.51,3004.20.00.19,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3004.20.00.19; our_family_terminal=3004.20.00.19,TRUE,
2011->2012,3004.20.00.59,3004.20.00.19,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3004.20.00.19; our_family_terminal=3004.20.00.19,TRUE,
2011->2012,3004.20.00.61,3004.20.00.19,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3004.20.00.19; our_family_terminal=3004.20.00.19,TRUE,
2011->2012,3004.20.00.62,3004.20.00.19,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3004.20.00.19; our_family_terminal=3004.20.00.19,TRUE,
2011->2012,3004.20.00.63,3004.20.00.12,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3004.20.00.12; our_family_terminal=3004.20.00.12,TRUE,
2011->2012,3004.20.00.69,3004.20.00.19,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3004.20.00.19; our_family_terminal=3004.20.00.19,TRUE,
2011->2012,3004.20.00.71,3004.20.00.80,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3004.20.00.80; our_family_terminal=3004.20.00.80,TRUE,
2011->2012,3004.20.00.79,3004.20.00.90,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3004.20.00.90; our_family_terminal=3004.20.00.90,TRUE,
2011->2012,3004.31.00.10,3004.31.00.00,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3004.31.00.00; our_family_terminal=3004.31.00.00,TRUE,
2011->2012,3004.31.00.90,3004.31.00.00,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3004.31.00.00; our_family_terminal=3004.31.00.00,TRUE,
2011->2012,3004.32.00.11,3004.32.00.00,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3004.32.00.00; our_family_terminal=3004.32.00.00,TRUE,
2011->2012,3004.32.00.19,3004.32.00.00,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3004.32.00.00; our_family_terminal=3004.32.00.00,TRUE,
2011->2012,3004.32.00.20,3004.32.00.00,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3004.32.00.00; our_family_terminal=3004.32.00.00,TRUE,
2011->2012,3004.39.00.10,3004.39.00.11,full_1to3,YES,2012-2025,stage_3,NO,NO,"cbsa_class=agrees_within_split; our_next=3004.39.00.11; our_family_terminal=3004.39.00.11; n_official_targets=3; one_to_many_siblings=3004.39.00.19|3004.39.00.90; agreement_route=direct; D-9: our pick falls inside the official target set but was chosen by our own stage-1/2/3 machinery, not by CBSA; see cbsa_override_ambiguous_imports.csv",TRUE,
2011->2012,3004.39.00.10,3004.39.00.19,full_1to3,YES,2012-2025,stage_3,NO,NO,"cbsa_class=agrees_within_split; our_next=3004.39.00.11; our_family_terminal=3004.39.00.11; n_official_targets=3; one_to_many_siblings=3004.39.00.11|3004.39.00.90; agreement_route=direct; D-9: our pick falls inside the official target set but was chosen by our own stage-1/2/3 machinery, not by CBSA; see cbsa_override_ambiguous_imports.csv",TRUE,
2011->2012,3004.39.00.10,3004.39.00.90,full_1to3,YES,2005-2025,stage_3,NO,NO,"cbsa_class=agrees_within_split; our_next=3004.39.00.11; our_family_terminal=3004.39.00.11; n_official_targets=3; one_to_many_siblings=3004.39.00.11|3004.39.00.19; agreement_route=direct; D-9: our pick falls inside the official target set but was chosen by our own stage-1/2/3 machinery, not by CBSA; see cbsa_override_ambiguous_imports.csv",TRUE,
2011->2012,3004.39.00.81,3004.39.00.12,full_1to1,YES,2012-2025,stage_2,NO,NO,cbsa_class=agrees_direct; our_next=3004.39.00.12; our_family_terminal=3004.39.00.12,TRUE,
2011->2012,3004.39.00.82,3004.39.00.19,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3004.39.00.19; our_family_terminal=3004.39.00.19,TRUE,
2011->2012,3004.39.00.83,3004.39.00.13,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=disagrees; our_next=3004.39.00.19; our_family_terminal=3004.39.00.19,TRUE,
2011->2012,3004.39.00.84,3004.39.00.19,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3004.39.00.19; our_family_terminal=3004.39.00.19,TRUE,
2011->2012,3004.39.00.85,3004.39.00.19,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3004.39.00.19; our_family_terminal=3004.39.00.19,TRUE,
2011->2012,3004.40.00.10,3004.40.00.90,full_1to1,NO,2005-2016,stage_3,NO,NO,"cbsa_class=disagrees; our_next=3004.49.00.10; our_family_terminal=3004.49.00.10; target_in_inventory_but_dead:D-4_record_as_lineage_step_do_not_reroute_terminal; contradicts_DIRECT_OVERRIDES[3004.40.00.10,Codeine]->3004.49.00.10; D-5: our terminal 3004.49.00.10 is officially unreachable from this code; CBSA routes it to 3004.40.00.90 (2012) and 3004.40.00.90 -> 3004.49.00.90 (2017). Correct terminal is 3004.49.00.90",TRUE,
2011->2012,3004.40.00.20,3004.40.00.90,full_1to1,NO,2005-2016,stage_3,NO,NO,cbsa_class=disagrees; our_next=3004.49.00.90; our_family_terminal=3004.49.00.90; target_in_inventory_but_dead:D-4_record_as_lineage_step_do_not_reroute_terminal,TRUE,
2011->2012,3004.40.00.50,3004.40.00.90,full_1to1,NO,2005-2016,stage_3,NO,NO,cbsa_class=disagrees; our_next=3004.49.00.90; our_family_terminal=3004.49.00.90; target_in_inventory_but_dead:D-4_record_as_lineage_step_do_not_reroute_terminal,TRUE,
2011->2012,3004.40.00.80,3004.40.00.90,full_1to1,NO,2005-2016,stage_3,NO,NO,"cbsa_class=disagrees; our_next=3004.49.00.10; our_family_terminal=3004.49.00.10; target_in_inventory_but_dead:D-4_record_as_lineage_step_do_not_reroute_terminal; contradicts_DIRECT_OVERRIDES[3004.40.00.80,Narcotic veg alkaloids]->3004.49.00.10; D-5: our terminal 3004.49.00.10 is officially unreachable from this code; CBSA routes it to 3004.40.00.90 (2012) and 3004.40.00.90 -> 3004.49.00.90 (2017). Correct terminal is 3004.49.00.90",TRUE,
2011->2012,3004.50.00.10,3004.50.00.19,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3004.50.00.19; our_family_terminal=3004.50.00.19,TRUE,
2011->2012,3004.50.00.20,3004.50.00.19,full_1to2,YES,2012-2025,stage_3,NO,NO,"cbsa_class=agrees_within_split; our_next=3004.50.00.19; our_family_terminal=3004.50.00.19; n_official_targets=2; one_to_many_siblings=3004.50.00.90; agreement_route=direct; D-9: our pick falls inside the official target set but was chosen by our own stage-1/2/3 machinery, not by CBSA; see cbsa_override_ambiguous_imports.csv",TRUE,
2011->2012,3004.50.00.20,3004.50.00.90,full_1to2,YES,2012-2025,stage_3,NO,NO,"cbsa_class=agrees_within_split; our_next=3004.50.00.19; our_family_terminal=3004.50.00.19; n_official_targets=2; one_to_many_siblings=3004.50.00.19; agreement_route=direct; D-9: our pick falls inside the official target set but was chosen by our own stage-1/2/3 machinery, not by CBSA; see cbsa_override_ambiguous_imports.csv",TRUE,
2011->2012,3004.50.00.31,3004.50.00.11,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=disagrees; our_next=3004.50.00.19; our_family_terminal=3004.50.00.19,TRUE,
2011->2012,3004.50.00.32,3004.50.00.11,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=disagrees; our_next=3004.50.00.19; our_family_terminal=3004.50.00.19,TRUE,
2011->2012,3004.50.00.39,3004.50.00.11,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=disagrees; our_next=3004.50.00.19; our_family_terminal=3004.50.00.19,TRUE,
2011->2012,3004.50.00.40,3004.50.00.12,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=disagrees; our_next=3004.50.00.19; our_family_terminal=3004.50.00.19,TRUE,
2011->2012,3004.50.00.50,3004.50.00.13,full_1to1,NO,2012-2016,stage_2,NO,NO,cbsa_class=agrees_direct; our_next=3004.50.00.13; our_family_terminal=3004.50.00.19; target_in_inventory_but_dead:D-4_record_as_lineage_step_do_not_reroute_terminal,TRUE,
2011->2012,3004.50.00.61,3004.50.00.14,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=disagrees; our_next=3004.50.00.19; our_family_terminal=3004.50.00.19,TRUE,
2011->2012,3004.50.00.69,3004.50.00.14,full_1to1,YES,2012-2025,stage_2,NO,NO,cbsa_class=disagrees; our_next=3004.50.00.13; our_family_terminal=3004.50.00.19,TRUE,
2011->2012,3004.50.00.70,3004.50.00.90,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3004.50.00.90; our_family_terminal=3004.50.00.90,TRUE,
2011->2012,3004.90.00.20,3004.90.00.79,full_1to2,YES,2005-2025,stage_3,NO,NO,"cbsa_class=agrees_within_split; our_next=3004.90.00.79; our_family_terminal=3004.90.00.79; n_official_targets=2; one_to_many_siblings=3004.90.00.90; agreement_route=direct; D-9: our pick falls inside the official target set but was chosen by our own stage-1/2/3 machinery, not by CBSA; see cbsa_override_ambiguous_imports.csv",TRUE,
2011->2012,3004.90.00.20,3004.90.00.90,full_1to2,YES,2012-2025,stage_3,NO,NO,"cbsa_class=agrees_within_split; our_next=3004.90.00.79; our_family_terminal=3004.90.00.79; n_official_targets=2; one_to_many_siblings=3004.90.00.79; agreement_route=direct; D-9: our pick falls inside the official target set but was chosen by our own stage-1/2/3 machinery, not by CBSA; see cbsa_override_ambiguous_imports.csv",TRUE,
2011->2012,3004.90.00.41,3004.90.00.49,full_1to1,YES,2005-2025,stage_3,NO,NO,cbsa_class=disagrees; our_next=3004.90.00.79; our_family_terminal=3004.90.00.79,TRUE,
2011->2012,3004.90.00.81,3004.90.00.90,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3004.90.00.90; our_family_terminal=3004.90.00.90,TRUE,
2011->2012,3004.90.00.89,3004.90.00.90,full_1to1,YES,2012-2025,stage_1,NO,NO,cbsa_class=agrees_direct; our_next=3004.90.00.90; our_family_terminal=3004.90.00.90,TRUE,
2011->2012,3005.90.00.10,3005.90.00.90,full_1to1,YES,2005-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3005.90.00.90; our_family_terminal=3005.90.00.90,TRUE,
2011->2012,3005.90.00.50,3005.90.00.90,full_1to1,YES,2005-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3005.90.00.90; our_family_terminal=3005.90.00.90,TRUE,
2011->2012,3005.90.00.60,3005.90.00.90,full_1to1,YES,2005-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3005.90.00.90; our_family_terminal=3005.90.00.90,TRUE,
2011->2012,3006.20.00.10,3006.20.00.90,full_1to1,NO,2005-2021-5,stage_2,NO,NO,cbsa_class=agrees_direct; our_next=3006.20.00.90; our_family_terminal=3006.20.00.90; target_in_inventory_but_dead:D-4_record_as_lineage_step_do_not_reroute_terminal,TRUE,
2011->2012,3006.30.00.20,3006.30.00.90,full_1to1,YES,2005-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3006.30.00.90; our_family_terminal=3006.30.00.90,TRUE,
2011->2012,3006.40.00.20,3006.40.00.90,full_1to1,YES,2005-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3006.40.00.90; our_family_terminal=3006.40.00.90,TRUE,
2011->2012,3006.40.00.30,3006.40.00.90,full_1to1,YES,2005-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3006.40.00.90; our_family_terminal=3006.40.00.90,TRUE,
2011->2012,3006.60.00.11,3006.60.00.10,full_1to1,NO,2012-2016,stage_3,NO,NO,cbsa_class=disagrees; our_next=3006.60.00.00; our_family_terminal=3006.60.00.00; target_in_inventory_but_dead:D-4_record_as_lineage_step_do_not_reroute_terminal,TRUE,
2011->2012,3006.60.00.19,3006.60.00.10,full_1to1,NO,2012-2016,stage_1,NO,NO,cbsa_class=agrees_direct; our_next=3006.60.00.10; our_family_terminal=3006.60.00.00; target_in_inventory_but_dead:D-4_record_as_lineage_step_do_not_reroute_terminal,TRUE,
2011->2012,3907.20.10.99,3002.10.00.90,full_1to1,NO,2012-2016,not_in_our_data,NO,NO,cbsa_class=source_not_in_our_data; our_next=none; our_family_terminal=none; source_not_in_our_data; target_in_inventory_but_dead:D-4_record_as_lineage_step_do_not_reroute_terminal,TRUE,
2011->2012,3907.20.90.99,3002.10.00.90,full_1to1,NO,2012-2016,not_in_our_data,NO,NO,cbsa_class=source_not_in_our_data; our_next=none; our_family_terminal=none; source_not_in_our_data; target_in_inventory_but_dead:D-4_record_as_lineage_step_do_not_reroute_terminal,TRUE,
2016->2017,3002.10.00.10,3002.12.00.11,full_1to1,YES,2017-2025,stage_2,NO,NO,cbsa_class=agrees_direct; our_next=3002.12.00.11; our_family_terminal=3002.12.00.11,TRUE,
2016->2017,3002.10.00.21,3002.12.00.12,full_1to1,YES,2017-2025,stage_2,NO,NO,cbsa_class=agrees_direct; our_next=3002.12.00.12; our_family_terminal=3002.12.00.12,TRUE,
2016->2017,3002.10.00.22,3002.12.00.19,full_1to1,YES,2017-2025,stage_2,NO,NO,cbsa_class=disagrees; our_next=3002.12.00.13; our_family_terminal=3002.12.00.13,TRUE,
2016->2017,3002.10.00.23,3002.12.00.13,full_1to1,YES,2017-2025,stage_2,NO,NO,cbsa_class=agrees_direct; our_next=3002.12.00.13; our_family_terminal=3002.12.00.13,TRUE,
2016->2017,3002.10.00.29,3002.12.00.19,full_1to1,YES,2017-2025,stage_2,NO,NO,cbsa_class=disagrees; our_next=3002.12.00.12; our_family_terminal=3002.12.00.12,TRUE,
2016->2017,3002.10.00.30,3002.12.00.12,full_1to3,YES,2017-2025,stage_2,NO,NO,cbsa_class=disagrees; our_next=3002.12.00.11; our_family_terminal=3002.12.00.11; n_official_targets=3; one_to_many_siblings=3002.12.00.13|3002.12.00.19; D-9: one-to-many and our pick is not among the official targets; see cbsa_override_ambiguous_imports.csv,TRUE,
2016->2017,3002.10.00.30,3002.12.00.13,full_1to3,YES,2017-2025,stage_2,NO,NO,cbsa_class=disagrees; our_next=3002.12.00.11; our_family_terminal=3002.12.00.11; n_official_targets=3; one_to_many_siblings=3002.12.00.12|3002.12.00.19; D-9: one-to-many and our pick is not among the official targets; see cbsa_override_ambiguous_imports.csv,TRUE,
2016->2017,3002.10.00.30,3002.12.00.19,full_1to3,YES,2017-2025,stage_2,NO,NO,cbsa_class=disagrees; our_next=3002.12.00.11; our_family_terminal=3002.12.00.11; n_official_targets=3; one_to_many_siblings=3002.12.00.12|3002.12.00.13; D-9: one-to-many and our pick is not among the official targets; see cbsa_override_ambiguous_imports.csv,TRUE,
2016->2017,3002.10.00.41,3002.12.00.21,full_1to1,YES,2017-2025,stage_3,NO,NO,"cbsa_class=agrees_direct; our_next=3002.12.00.21; our_family_terminal=3002.12.00.21; corroborates_DIRECT_OVERRIDES[3002.10.00.41,Bovine albumin]->3002.12.00.21",TRUE,
2016->2017,3002.10.00.42,3002.12.00.21,full_1to1,YES,2017-2025,stage_2,NO,NO,"cbsa_class=agrees_direct; our_next=3002.12.00.21; our_family_terminal=3002.12.00.21; corroborates_DIRECT_OVERRIDES[3002.10.00.42,Sera and antisera, of animal origin]->3002.12.00.21",TRUE,
2016->2017,3002.10.00.49,3002.12.00.21,full_1to1,YES,2017-2025,stage_3,NO,NO,"cbsa_class=agrees_direct; our_next=3002.12.00.21; our_family_terminal=3002.12.00.21; corroborates_DIRECT_OVERRIDES[3002.10.00.49,Blood albumin]->3002.12.00.21",TRUE,
2016->2017,3002.10.00.51,3002.12.00.21,full_1to1,YES,2017-2025,stage_2,NO,NO,cbsa_class=agrees_direct; our_next=3002.12.00.21; our_family_terminal=3002.12.00.21,TRUE,
2016->2017,3002.10.00.59,3002.12.00.29,full_1to1,YES,2017-2025,stage_2,NO,NO,cbsa_class=disagrees; our_next=3002.12.00.19; our_family_terminal=3002.12.00.19,TRUE,
2016->2017,3002.10.00.90,3002.11.00.00,full_1to5,NO,2017-2021-5,stage_2,NO,NO,"cbsa_class=agrees_within_split; our_next=3002.19.00.00; our_family_terminal=3002.49.00.90; target_in_inventory_but_dead:D-4_record_as_lineage_step_do_not_reroute_terminal; n_official_targets=5; one_to_many_siblings=3002.13.00.00|3002.14.00.00|3002.15.00.00|3002.19.00.00; agreement_route=direct; D-9: our pick falls inside the official target set but was chosen by our own stage-1/2/3 machinery, not by CBSA; see cbsa_override_ambiguous_imports.csv",TRUE,
2016->2017,3002.10.00.90,3002.13.00.00,full_1to5,YES,2017-2025,stage_2,NO,NO,"cbsa_class=agrees_within_split; our_next=3002.19.00.00; our_family_terminal=3002.49.00.90; n_official_targets=5; one_to_many_siblings=3002.11.00.00|3002.14.00.00|3002.15.00.00|3002.19.00.00; agreement_route=direct; D-9: our pick falls inside the official target set but was chosen by our own stage-1/2/3 machinery, not by CBSA; see cbsa_override_ambiguous_imports.csv",TRUE,
2016->2017,3002.10.00.90,3002.14.00.00,full_1to5,YES,2017-2025,stage_2,NO,NO,"cbsa_class=agrees_within_split; our_next=3002.19.00.00; our_family_terminal=3002.49.00.90; n_official_targets=5; one_to_many_siblings=3002.11.00.00|3002.13.00.00|3002.15.00.00|3002.19.00.00; agreement_route=direct; D-9: our pick falls inside the official target set but was chosen by our own stage-1/2/3 machinery, not by CBSA; see cbsa_override_ambiguous_imports.csv",TRUE,
2016->2017,3002.10.00.90,3002.15.00.00,full_1to5,YES,2017-2025,stage_2,NO,NO,"cbsa_class=agrees_within_split; our_next=3002.19.00.00; our_family_terminal=3002.49.00.90; n_official_targets=5; one_to_many_siblings=3002.11.00.00|3002.13.00.00|3002.14.00.00|3002.19.00.00; agreement_route=direct; D-9: our pick falls inside the official target set but was chosen by our own stage-1/2/3 machinery, not by CBSA; see cbsa_override_ambiguous_imports.csv",TRUE,
2016->2017,3002.10.00.90,3002.19.00.00,full_1to5,NO,2017-2021-5,stage_2,NO,NO,"cbsa_class=agrees_within_split; our_next=3002.19.00.00; our_family_terminal=3002.49.00.90; target_in_inventory_but_dead:D-4_record_as_lineage_step_do_not_reroute_terminal; n_official_targets=5; one_to_many_siblings=3002.11.00.00|3002.13.00.00|3002.14.00.00|3002.15.00.00; agreement_route=direct; D-9: our pick falls inside the official target set but was chosen by our own stage-1/2/3 machinery, not by CBSA; see cbsa_override_ambiguous_imports.csv",TRUE,
2016->2017,3002.90.00.11,3002.90.00.10,full_1to1,NO,2017-2021-5,stage_3,NO,NO,"cbsa_class=disagrees; our_next=3002.49.00.20; our_family_terminal=3002.49.00.20; target_in_inventory_but_dead:D-4_record_as_lineage_step_do_not_reroute_terminal; contradicts_DIRECT_OVERRIDES[3002.90.00.11,Ricin]->3002.49.00.20",FALSE,"Applying the CBSA edge routes this code to a chain ending at 3002.90.00.20. In the 2022 and later schedules that line reads 'Toxoids, antitoxins, viruses, bacteriophage and bacterial lysates'. Ricin is a toxin. It is neither a toxoid nor an antitoxin. The hand-curated DIRECT_OVERRIDES ruling to 3002.49.00.20 (Toxins) is restored. Only the first hop 3002.90.00.11 to 3002.90.00.10 is official. The remainder of the chain is inferred, because no 2021 to 2022 concordance is held. Combined traded value of the two reverted codes is $75,258, so the reversion is semantic rather than material."
2016->2017,3002.90.00.12,3002.90.00.10,full_1to1,NO,2017-2021-5,stage_3,NO,NO,"cbsa_class=disagrees; our_next=3002.49.00.20; our_family_terminal=3002.49.00.20; target_in_inventory_but_dead:D-4_record_as_lineage_step_do_not_reroute_terminal; contradicts_DIRECT_OVERRIDES[3002.90.00.12,Saxitoxin]->3002.49.00.20",FALSE,"Applying the CBSA edge routes this code to a chain ending at 3002.90.00.20. In the 2022 and later schedules that line reads 'Toxoids, antitoxins, viruses, bacteriophage and bacterial lysates'. Saxitoxin is a toxin. It is neither a toxoid nor an antitoxin. The hand-curated DIRECT_OVERRIDES ruling to 3002.49.00.20 (Toxins) is restored. Only the first hop 3002.90.00.12 to 3002.90.00.10 is official. The remainder of the chain is inferred, because no 2021 to 2022 concordance is held. Combined traded value of the two reverted codes is $75,258, so the reversion is semantic rather than material."
