record_id,span_id,flow,hs_code,description,first_period,last_period,value_cad,family_id,family_anchor_code,family_anchor_first_traded,family_size,family_commodities,family_display_number,family_codes
EXR-30031000-198801,exports:3003.10.00:1988-01,exports,3003.10.00,"Penicillins or streptomycins and their derivatives, formulated, in bulk",198801,200012,748385,EX-30031000-198801,3003.10.00,198801,1,1,7,3003.10.00
EXR-30031000-200204,exports:3003.10.00:2002-04,exports,3003.10.00,"Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,nfrs",200204,202605,1435943,EX-30031000-198801,3003.10.00,198801,1,1,7,3003.10.00
EXR-30032000-198801,exports:3003.20.00:1988-01,exports,3003.20.00,"Antibiotics nes, formulated, in bulk",198801,200112,7676418,EX-30032000-198801,3003.20.00,198801,1,1,8,3003.20.00
EXR-30032000-200201,exports:3003.20.00:2002-01,exports,3003.20.00,"Medicaments,cont antibiotics,nes,mix,for therap/prophltc,nfrs,o/t No 30.02/05/06",200201,202606,831236406,EX-30032000-198801,3003.20.00,198801,1,1,8,3003.20.00
EXR-30033100-198801,exports:3003.31.00:1988-01,exports,3003.31.00,"Insulin, formulated, in bulk",198801,199304,745761,EX-30033100-198801,3003.31.00,198801,2,2,9,3003.31.00;3003.90.00
EXR-30033100-200203,exports:3003.31.00:2002-03,exports,3003.31.00,"Medicaments,cont insulin,mixed,not in doses/forms/pack/frs,o/t No 30.02/05/06",200203,202505,1208878,EX-30033100-200203,3003.31.00,200203,1,1,29,3003.31.00
EXR-30033900-198801,exports:3003.39.00:1988-01,exports,3003.39.00,"Hormones nes, formulated, not cntg antibiotics, in bulk, o/t contraceptives",198801,200111,205319941,EX-30033900-198801,3003.39.00,198801,1,1,10,3003.39.00
EXR-30033900-200201,exports:3003.39.00:2002-01,exports,3003.39.00,"Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,nfrs",200201,202606,465281939,EX-30033900-198801,3003.39.00,198801,1,1,10,3003.39.00
EXR-30034000-198804,exports:3003.40.00:1988-04,exports,3003.40.00,"Alkaloids or their derivs, formltd, not cntg antibiotics or hormones, in bulk",198804,201611,2243690,EX-30034000-198804,3003.40.00,198804,2,2,27,3003.40.00;3003.49.00
EXR-30034100-202009,exports:3003.41.00:2020-09,exports,3003.41.00,"Medicaments,cont ephedrin/salts,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",202009,202009,16605,EX-30034100-202009,3003.41.00,202009,1,1,44,3003.41.00
EXR-30034200-201905,exports:3003.42.00:2019-05,exports,3003.42.00,"Medicaments,cont pseudoephedrine/sa,mix,therap/prophltc,nfrs,o/t No 30.02/05/06",201905,202409,594838,EX-30034200-201905,3003.42.00,201905,1,1,43,3003.42.00
