span_id,flow,hs_code,description,first_period,last_period,value_cad,codes_in_journey,succession_hops,rewordings_passed,journey,terminal_code,terminal_description,terminal_first_period,terminal_last_period,terminal_status
exports:3004.20.10:1988-01,exports,3004.20.10,"Antibiotics nes, in dosage, for human use",198801,198812,7651667,2,1,1,3004.20.10 -> 3004.20.00,3004.20.00,"Medicaments,cont antibiotics,f therap/prophltc,in doses/frs,o/t No 30.02/05/06",200201,202606,active
exports:3004.20.20:1988-01,exports,3004.20.20,"Antibiotics nes, in dosage, for veterinary use",198801,198812,718992,2,1,1,3004.20.20 -> 3004.20.00,3004.20.00,"Medicaments,cont antibiotics,f therap/prophltc,in doses/frs,o/t No 30.02/05/06",200201,202606,active
exports:3004.31.00:1988-03,exports,3004.31.00,"Insulin, in dosage",198803,199909,1752462,1,0,1,3004.31.00,3004.31.00,"Medicaments,cont insulin,in doses/forms/pack f retail sale,o/t No 30.02/05/06",200207,202606,active
exports:3004.31.00:2002-07,exports,3004.31.00,"Medicaments,cont insulin,in doses/forms/pack f retail sale,o/t No 30.02/05/06",200207,202606,217431074,1,0,0,3004.31.00,3004.31.00,"Medicaments,cont insulin,in doses/forms/pack f retail sale,o/t No 30.02/05/06",200207,202606,active
exports:3004.32.00:1989-01,exports,3004.32.00,"Adrenal cortical hormones, not containing antibiotics, in dosage",198901,200112,398967731,1,0,1,3004.32.00,3004.32.00,"Medi,cont corticosteroid horm/deriv/struct ana,in doses/frs,o/t No 30.02/05/06",200201,202606,active
exports:3004.32.00:2002-01,exports,3004.32.00,"Medi,cont corticosteroid horm/deriv/struct ana,in doses/frs,o/t No 30.02/05/06",200201,202606,4416759120,1,0,0,3004.32.00,3004.32.00,"Medi,cont corticosteroid horm/deriv/struct ana,in doses/frs,o/t No 30.02/05/06",200201,202606,active
exports:3004.32.10:1988-01,exports,3004.32.10,"Adrenal cortical hormones, in dosage, for human use",198801,198812,3924008,2,1,1,3004.32.10 -> 3004.32.00,3004.32.00,"Medi,cont corticosteroid horm/deriv/struct ana,in doses/frs,o/t No 30.02/05/06",200201,202606,active
exports:3004.32.20:1988-02,exports,3004.32.20,"Adrenal cortical hormones, in dosage, for veterinary use",198802,198811,47163,2,1,1,3004.32.20 -> 3004.32.00,3004.32.00,"Medi,cont corticosteroid horm/deriv/struct ana,in doses/frs,o/t No 30.02/05/06",200201,202606,active
exports:3004.39.00:1989-01,exports,3004.39.00,"Hormones nes, not containing antibiotics, in dosage,o/t contraceptive",198901,200112,633301759,1,0,1,3004.39.00,3004.39.00,"Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,frs",200201,202606,active
exports:3004.39.00:2002-01,exports,3004.39.00,"Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,frs",200201,202606,17458512244,1,0,0,3004.39.00,3004.39.00,"Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,frs",200201,202606,active
exports:3004.39.10:1988-01,exports,3004.39.10,"Hormones nes, not containing antibiotics, in dosage,o/t contraceptive,human use",198801,198812,6819167,2,1,1,3004.39.10 -> 3004.39.00,3004.39.00,"Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,frs",200201,202606,active
exports:3004.39.20:1988-01,exports,3004.39.20,"Hormones nes, not containing antibiotics, in dosage,o/t contraceptive,vet use",198801,198812,304529,2,1,1,3004.39.20 -> 3004.39.00,3004.39.00,"Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,frs",200201,202606,active
exports:3004.40.00:1988-01,exports,3004.40.00,"Alkaloids or their derivs, not cntg antibiotics or hormones, in dosage",198801,201612,1560656123,2,1,0,3004.40.00 -> 3004.49.00,3004.49.00,"Medi,cont alkaloids/deriv t/o,nes,therap/prophltc,doses/frs,o/t No 30.02/05/06",201701,202606,active
exports:3004.41.00:2017-01,exports,3004.41.00,"Medicaments,cont ephedrin/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",201701,202605,104471710,1,0,0,3004.41.00,3004.41.00,"Medicaments,cont ephedrin/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",201701,202605,not_a_retirement
exports:3004.42.00:2017-01,exports,3004.42.00,"Medi,cont pseudoephedrine/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",201701,202606,43140759,1,0,0,3004.42.00,3004.42.00,"Medi,cont pseudoephedrine/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",201701,202606,active
exports:3004.43.00:2017-03,exports,3004.43.00,"Medi,cont norephedrine/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",201703,202203,497680,1,0,0,3004.43.00,3004.43.00,"Medi,cont norephedrine/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",201703,202203,not_a_retirement
exports:3004.49.00:2017-01,exports,3004.49.00,"Medi,cont alkaloids/deriv t/o,nes,therap/prophltc,doses/frs,o/t No 30.02/05/06",201701,202606,1158394031,1,0,0,3004.49.00,3004.49.00,"Medi,cont alkaloids/deriv t/o,nes,therap/prophltc,doses/frs,o/t No 30.02/05/06",201701,202606,active
exports:3004.50.00:1989-01,exports,3004.50.00,"Vitamins and their derivatives,in dosage",198901,200112,450642793,1,0,1,3004.50.00,3004.50.00,"Medicaments,cont vitamins/provitamins/deriv,in doses/pack/frs,o/t No 30.02/05/06",200201,202606,active
exports:3004.50.00:2002-01,exports,3004.50.00,"Medicaments,cont vitamins/provitamins/deriv,in doses/pack/frs,o/t No 30.02/05/06",200201,202606,3654760823,1,0,0,3004.50.00,3004.50.00,"Medicaments,cont vitamins/provitamins/deriv,in doses/pack/frs,o/t No 30.02/05/06",200201,202606,active
