record_id,family_id,flow,step_number,steps_in_journey,hs_code,description,step_first_period,step_last_period,rewordings_within_step,step_status,next_hs_code
EXR-30031000-198801,EX-30031000-198801,exports,1,1,3003.10.00,"Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,nfrs",198801,202605,1,not_a_retirement,
EXR-30031000-200204,EX-30031000-198801,exports,1,1,3003.10.00,"Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,nfrs",200204,202605,0,not_a_retirement,
EXR-30032000-198801,EX-30032000-198801,exports,1,1,3003.20.00,"Medicaments,cont antibiotics,nes,mix,for therap/prophltc,nfrs,o/t No 30.02/05/06",198801,202606,1,active,
EXR-30032000-200201,EX-30032000-198801,exports,1,1,3003.20.00,"Medicaments,cont antibiotics,nes,mix,for therap/prophltc,nfrs,o/t No 30.02/05/06",200201,202606,0,active,
EXR-30033100-198801,EX-30033100-198801,exports,1,2,3003.31.00,"Insulin, formulated, in bulk",198801,199304,0,succeeded,3003.90.00
EXR-30033100-198801,EX-30033100-198801,exports,2,2,3003.90.00,"Medicaments, nes,mix,therap/prophltc uses,not for retail sale,o/t No 30.02/05/06",198801,202606,1,active,
EXR-30033100-200203,EX-30033100-200203,exports,1,1,3003.31.00,"Medicaments,cont insulin,mixed,not in doses/forms/pack/frs,o/t No 30.02/05/06",200203,202505,0,not_a_retirement,
EXR-30033900-198801,EX-30033900-198801,exports,1,1,3003.39.00,"Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,nfrs",198801,202606,1,active,
EXR-30033900-200201,EX-30033900-198801,exports,1,1,3003.39.00,"Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,nfrs",200201,202606,0,active,
EXR-30034000-198804,EX-30034000-198804,exports,1,2,3003.40.00,"Alkaloids or their derivs, formltd, not cntg antibiotics or hormones, in bulk",198804,201611,0,succeeded,3003.49.00
EXR-30034000-198804,EX-30034000-198804,exports,2,2,3003.49.00,"Medi,cont alkaloids/deriv t/o,nes,mix,f therap/prophltc,nfrs,o/t No 30.02/05/06",201805,202606,0,active,
EXR-30034100-202009,EX-30034100-202009,exports,1,1,3003.41.00,"Medicaments,cont ephedrin/salts,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",202009,202009,0,not_a_retirement,
EXR-30034200-201905,EX-30034200-201905,exports,1,1,3003.42.00,"Medicaments,cont pseudoephedrine/sa,mix,therap/prophltc,nfrs,o/t No 30.02/05/06",201905,202409,0,not_a_retirement,
EXR-30034900-201805,EX-30034000-198804,exports,1,1,3003.49.00,"Medi,cont alkaloids/deriv t/o,nes,mix,f therap/prophltc,nfrs,o/t No 30.02/05/06",201805,202606,0,active,
EXR-30036000-201812,EX-30036000-201812,exports,1,1,3003.60.00,"Medicaments,cont antimalarial active principles,mixed,nfrs,o/t No 30.02/05/06",201812,202308,0,not_a_retirement,
EXR-30039000-198801,EX-30033100-198801,exports,1,1,3003.90.00,"Medicaments, nes,mix,therap/prophltc uses,not for retail sale,o/t No 30.02/05/06",198801,202606,1,active,
EXR-30039000-201701,EX-30033100-198801,exports,1,1,3003.90.00,"Medicaments, nes,mix,therap/prophltc uses,not for retail sale,o/t No 30.02/05/06",201701,202606,0,active,
EXR-30041000-198901,EX-30041010-198801,exports,1,1,3004.10.00,"Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,frs",198901,202606,1,active,
EXR-30041000-200201,EX-30041010-198801,exports,1,1,3004.10.00,"Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,frs",200201,202606,0,active,
EXR-30041010-198801,EX-30041010-198801,exports,1,2,3004.10.10,"Penicillins or streptomycins and their derivatives,in dosage,for human use",198801,198812,0,succeeded,3004.10.00
EXR-30041010-198801,EX-30041010-198801,exports,2,2,3004.10.00,"Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,frs",198901,202606,1,active,
EXR-30041020-198801,EX-30041010-198801,exports,1,2,3004.10.20,"Penicillins or streptomycins and their derivatives,in dosage,for vet use",198801,198812,0,succeeded,3004.10.00
EXR-30041020-198801,EX-30041010-198801,exports,2,2,3004.10.00,"Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,frs",198901,202606,1,active,
EXR-30042000-198901,EX-30042010-198801,exports,1,1,3004.20.00,"Medicaments,cont antibiotics,f therap/prophltc,in doses/frs,o/t No 30.02/05/06",198901,202606,1,active,
EXR-30042000-200201,EX-30042010-198801,exports,1,1,3004.20.00,"Medicaments,cont antibiotics,f therap/prophltc,in doses/frs,o/t No 30.02/05/06",200201,202606,0,active,
