record_id,span_id,flow,hs_code,description,first_period,last_period,value_cad,family_id,family_anchor_code,family_anchor_first_traded,family_size,family_commodities,family_display_number,family_codes
IMR-3004100011-198801,imports:3004.10.00.11:1988-01,imports,3004.10.00.11,"Penicillin G sodium for human use, in dosage",198801,200112,4842552,IM-3004100011-198801,3004.10.00.11,198801,7,7,21,3004.10.00.10;3004.10.00.11;3004.10.00.12;3004.10.00.13;3004.10.00.14;3004.10.00.19;3004.10.00.20
IMR-3004100011-200208,imports:3004.10.00.11:2002-08,imports,3004.10.00.11,"Penicillin G sodium, for human use, in dosage",200208,201112,5082133,IM-3004100011-198801,3004.10.00.11,198801,7,7,21,3004.10.00.10;3004.10.00.11;3004.10.00.12;3004.10.00.13;3004.10.00.14;3004.10.00.19;3004.10.00.20
IMR-3004100012-198801,imports:3004.10.00.12:1988-01,imports,3004.10.00.12,"Penicillin G procaine for human use, in dosage",198801,199102,157999,IM-3004100011-198801,3004.10.00.11,198801,7,7,21,3004.10.00.10;3004.10.00.11;3004.10.00.12;3004.10.00.13;3004.10.00.14;3004.10.00.19;3004.10.00.20
IMR-3004100012-199208,imports:3004.10.00.12:1992-08,imports,3004.10.00.12,"Penicillin V for human use, in dosage",199208,200105,435069,IM-3004100011-198801,3004.10.00.11,198801,7,7,21,3004.10.00.10;3004.10.00.11;3004.10.00.12;3004.10.00.13;3004.10.00.14;3004.10.00.19;3004.10.00.20
IMR-3004100012-200304,imports:3004.10.00.12:2003-04,imports,3004.10.00.12,"Penicillin V, for human use, in dosage",200304,201111,106985,IM-3004100011-198801,3004.10.00.11,198801,7,7,21,3004.10.00.10;3004.10.00.11;3004.10.00.12;3004.10.00.13;3004.10.00.14;3004.10.00.19;3004.10.00.20
IMR-3004100013-198801,imports:3004.10.00.13:1988-01,imports,3004.10.00.13,"Penicillin V for human use, in dosage",198801,199110,584572,IM-3004100011-198801,3004.10.00.11,198801,7,7,21,3004.10.00.10;3004.10.00.11;3004.10.00.12;3004.10.00.13;3004.10.00.14;3004.10.00.19;3004.10.00.20
IMR-3004100013-199201,imports:3004.10.00.13:1992-01,imports,3004.10.00.13,"Amoxycillin for human use, in dosage",199201,200111,11169947,IM-3004100011-198801,3004.10.00.11,198801,7,7,21,3004.10.00.10;3004.10.00.11;3004.10.00.12;3004.10.00.13;3004.10.00.14;3004.10.00.19;3004.10.00.20
IMR-3004100013-200201,imports:3004.10.00.13:2002-01,imports,3004.10.00.13,"Amoxycillin, for human use, in dosage",200201,201112,11814032,IM-3004100011-198801,3004.10.00.11,198801,7,7,21,3004.10.00.10;3004.10.00.11;3004.10.00.12;3004.10.00.13;3004.10.00.14;3004.10.00.19;3004.10.00.20
IMR-3004100014-198801,imports:3004.10.00.14:1988-01,imports,3004.10.00.14,"Amoxycillin for human use, in dosage",198801,199112,9591808,IM-3004100011-198801,3004.10.00.11,198801,7,7,21,3004.10.00.10;3004.10.00.11;3004.10.00.12;3004.10.00.13;3004.10.00.14;3004.10.00.19;3004.10.00.20
IMR-3004100019-198801,imports:3004.10.00.19:1988-01,imports,3004.10.00.19,"Penicillins or their derivs nes, for human use, in dosage",198801,200112,199819154,IM-3004100011-198801,3004.10.00.11,198801,7,7,21,3004.10.00.10;3004.10.00.11;3004.10.00.12;3004.10.00.13;3004.10.00.14;3004.10.00.19;3004.10.00.20
