year,hs10,tariff_item8,description,uom
2006,3002.10.00.21,3002.10.00,Blood plasma,KGM
2006,3002.10.00.22,3002.10.00,Normal serum globulin,KGM
2006,3002.10.00.23,3002.10.00,Immune serum globulin,KGM
2006,3002.10.00.29,3002.10.00,Other,KGM
2006,3002.10.00.30,3002.10.00,"Human antisera and other human blood fractions, for other uses",KGM
2006,3002.10.00.41,3002.10.00,Bovine albumin,KGM
2006,3002.10.00.42,3002.10.00,Sera and antisera,KGM
2006,3002.10.00.49,3002.10.00,Other,KGM
2006,3002.10.00.51,3002.10.00,For use in humans,KGM
2006,3002.10.00.59,3002.10.00,Other,KGM
2006,3002.10.00.60,3002.10.00,Modified immunological products,KGM
2006,3002.20.00.10,3002.20.00,Against influenza virus,-
2006,3002.20.00.20,3002.20.00,Against rubella (German measles),-
2006,3002.20.00.30,3002.20.00,Against rabies,-
2006,3002.20.00.90,3002.20.00,Other,-
2006,3002.30.00.10,3002.30.00,Vaccines against foot and mouth disease; vaccines prepared for parenteral administration; bovine intranasal vaccine,-
2006,3002.30.00.90,3002.30.00,Other,-
2006,3002.90.00.11,3002.90.00,Ricin,-
2006,3002.90.00.12,3002.90.00,Saxitoxin,-
2006,3002.90.00.19,3002.90.00,Other,-
2006,3002.90.00.20,3002.90.00,Butter-making ferment cultures,KGM
2006,3002.90.00.30,3002.90.00,"Dried blood of animal origin, whether or not soluble",-
2006,3002.90.00.91,3002.90.00,Bacteria culture inoculants for seeds,-
2006,3002.90.00.92,3002.90.00,Whole human blood,-
2006,3002.90.00.93,3002.90.00,Antiallergenic preparations of microbial origin,-
2006,3002.90.00.99,3002.90.00,Other,-
2006,3003.10.00.00,3003.10.00,"Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",KGM
2006,3003.20.00.00,3003.20.00,Containing other antibiotics,KGM
2006,3003.31.00.10,3003.31.00,Prepared for parenteral administration in humans,KGM
2006,3003.31.00.90,3003.31.00,Other,KGM
2006,3003.39.00.10,3003.39.00,"Epinephrine and its solutions, prepared for parenteral administration in humans",KGM
2006,3003.39.00.90,3003.39.00,Other,KGM
2006,3003.40.00.00,3003.40.00,Containing alkaloids or derivatives thereof but not containing hormones or other products of heading 29.37 or antibiotics,KGM
2006,3003.90.00.10,3003.90.00,"Fractionated soya oil emulsions, prepared for parenteral administration; mixtures of amino acids and mixtures of amino acids and protein hydrolysates, whether or not containing added minerals, vitamins, fats or carbohydrates, specially compounded for persons afflicted with amino acid disorders; dextrose (glucose) solutions and levulose (fructose) solutions, prepared for parenteral administration",KGM
2006,3003.90.00.20,3003.90.00,Containing more than 23% of absolute ethyl alcohol by volume,LTR
2006,3003.90.00.91,3003.90.00,Containing acetaminophen,KGM
2006,3003.90.00.99,3003.90.00,Other,KGM
2006,3004.10.00.11,3004.10.00,Containing penicillin G sodium,-
2006,3004.10.00.12,3004.10.00,Containing penicillin V,-
2006,3004.10.00.13,3004.10.00,Containing amoxacillin,-
2006,3004.10.00.19,3004.10.00,Other,-
2006,3004.10.00.20,3004.10.00,"For human use, containing streptomycins or their derivatives",-
2006,3004.10.00.31,3004.10.00,Containing penicillins or derivatives thereof,-
2006,3004.10.00.32,3004.10.00,Containing streptomycins or derivatives thereof,-
2006,3004.20.00.10,3004.20.00,"For human use, containing tetracyclines or their derivatives",-
2006,3004.20.00.20,3004.20.00,"For human use, containing cephalosporins",-
2006,3004.20.00.31,3004.20.00,Containing erythromycin,-
2006,3004.20.00.39,3004.20.00,Other,-
2006,3004.20.00.41,3004.20.00,Containing gentamycins,-
2006,3004.20.00.49,3004.20.00,Other,-
2006,3004.20.00.51,3004.20.00,Containing bacitracin,-
2006,3004.20.00.59,3004.20.00,Other,-
2006,3004.20.00.61,3004.20.00,Containing chloramphenicol,-
2006,3004.20.00.62,3004.20.00,Containing mitomycin C,-
2006,3004.20.00.63,3004.20.00,Containing vancomycin,-
2006,3004.20.00.69,3004.20.00,Other,-
2006,3004.20.00.71,3004.20.00,Containing ivermectin,-
2006,3004.20.00.79,3004.20.00,Other,-
2006,3004.31.00.10,3004.31.00,"Insulin, whether or not mixed with zinc, globin or protamine, prepared for parenteral administration",-
2006,3004.31.00.90,3004.31.00,Other,-
2006,3004.32.00.11,3004.32.00,Containing hydrocortisone,-
2006,3004.32.00.19,3004.32.00,Other,-
2006,3004.32.00.20,3004.32.00,For veterinary use,-
2006,3004.39.00.10,3004.39.00,"Epinephrine and its solutions and pituitary extracts, prepared for parenteral administration",-
2006,3004.39.00.81,3004.39.00,Containing anterior pituitary hormones,-
2006,3004.39.00.82,3004.39.00,Containing posterior pituitary hormones,-
2006,3004.39.00.83,3004.39.00,Containing unmixed single estrogens,-
2006,3004.39.00.84,3004.39.00,Containing unmixed single progestational hormones,-
2006,3004.39.00.85,3004.39.00,Containing other hormones,-
2006,3004.39.00.90,3004.39.00,"Other, for veterinary use",-
2006,3004.40.00.10,3004.40.00,Containing codeine or its derivatives,-
2006,3004.40.00.20,3004.40.00,Containing vincristine,-
2006,3004.40.00.30,3004.40.00,Containing theophylline,-
2006,3004.40.00.40,3004.40.00,Containing morphine or derivatives thereof,-
2006,3004.40.00.50,3004.40.00,Containing aminophylline,-
2006,3004.40.00.80,3004.40.00,Containing other narcotic vegetable alkaloids or their narcotic derivatives,-
2006,3004.40.00.90,3004.40.00,Containing other non-narcotic vegetable alkaloids or their non-narcotic derivatives,-
2006,3004.50.00.10,3004.50.00,"Mixtures of amino acids and vitamins, and mixtures of amino acids, protein hydrolysates and vitamins, whether or not containing added minerals, fats or carbohydrates, specially compounded for persons afflicted with amino acid disorders",-
2006,3004.50.00.20,3004.50.00,"Other, containing more than 23% of absolute ethyl alcohol by volume",LTR
2006,3004.50.00.31,3004.50.00,Containing vitamin C,-
2006,3004.50.00.32,3004.50.00,Containing vitamin E,-
2006,3004.50.00.39,3004.50.00,Other,-
2006,3004.50.00.40,3004.50.00,"Other, for human use, containing a single vitamin mixed with other supplements",-
2006,3004.50.00.50,3004.50.00,"Other, for human use, containing multivitamins not mixed with other supplements",-
2006,3004.50.00.61,3004.50.00,Vitamin-iron preparations,-
2006,3004.50.00.69,3004.50.00,Other,-
2006,3004.50.00.70,3004.50.00,"Other, for veterinary use",-
2006,3004.90.00.11,3004.90.00,Amino acids,-
2006,3004.90.00.12,3004.90.00,Dextrose (glucose) and levulose (fructose) solutions,-
2006,3004.90.00.19,3004.90.00,Other,-
2006,3004.90.00.20,3004.90.00,"Other, containing more than 23% of absolute ethyl alcohol by volume",LTR
2006,3004.90.00.31,3004.90.00,Analgesics,-
2006,3004.90.00.32,3004.90.00,Antidepressants and tranquilizers,-
