uid,orig_commodity,family_id,step_number,hs_code,description,orig_first_period,orig_last_period,step_status,next_hs_code,step_first_period,step_last_period
IMR-3002120011-201701,"3002.12.00.11 - Human antisera and other human blood fractions, for diagnostic use",IM-3002101010-198801,1,3002.12.00.11,"Human antisera and other human blood fractions, for diagnostic use",2017-01,2026-06,active,,2017-01,2026-06
IMR-3002120012-201701,"3002.12.00.12 - Human blood plasma, for therapeutic/prophylactic/other uses",IM-3002101021-198801,1,3002.12.00.12,"Human blood plasma, for therapeutic/prophylactic/other uses",2017-01,2026-06,active,,2017-01,2026-06
IMR-3002120013-201701,"3002.12.00.13 - Human immune globulin, for therapeutic/prophylactic/other uses",IM-3002101023-199001,1,3002.12.00.13,"Human immune globulin, for therapeutic/prophylactic/other uses",2017-01,2026-06,active,,2017-01,2026-06
IMR-3002120019-201701,"3002.12.00.19 - Human antisera and other human blood fractions, nes",IM-3002101022-198801,1,3002.12.00.19,"Human antisera and other human blood fractions, not elsewhere specified",2017-01,2026-06,active,,2017-01,2026-06
IMR-3002120021-201701,"3002.12.00.21 - Animal antisera and other animal blood fractions, for use in humans",IM-3002102110-198801,1,3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",2017-01,2026-06,active,,2017-01,2026-06
IMR-3002120029-201701,"3002.12.00.29 - Animal antisera and other animal blood fractions, nes",IM-3002102920-198801,1,3002.12.00.29,"Animal antisera and other animal blood fractions, not elsewhere specified",2017-01,2026-06,active,,2017-01,2026-06
IMR-3002130000-201701,"3002.13.00.00 - Immunological products, unmixed, not put up in measured doses/forms/packings frs",IM-3002130000-201701,1,3002.13.00.00,"Immunological products, unmixed, not put up in measured doses/forms/packings for retail sale",2017-01,2026-06,active,,2017-01,2026-06
IMR-3002140000-201701,"3002.14.00.00 - Immunological products,mixed,not put in measured doses/forms/packings f ret sale",IM-3002140000-201701,1,3002.14.00.00,"Immunological products,mixed,not put in measured doses/forms/packings for ret sale",2017-01,2026-06,active,,2017-01,2026-06
IMR-3002150000-201701,"3002.15.00.00 - Immunological products, put up in measured doses/forms/packings, for retail sale",IM-3002150000-201701,1,3002.15.00.00,"Immunological products, put up in measured doses/forms/packings, for retail sale",2017-01,2026-06,active,,2017-01,2026-06
IMR-3002190000-201701,"3002.19.00.00 - Immunological products, nes, w/n modified/obtained by biotechnological processes (Terminated 2021-12)",IM-3002901020-198801,1,3002.19.00.00,"Immunological products, not elsewhere specified, whether or not modified/obtained by biotechnological processes",2017-01,2021-12,succeeded,3002.90.00.90,2017-01,2021-12
IMR-3002190000-201701,"3002.19.00.00 - Immunological products, nes, w/n modified/obtained by biotechnological processes (Terminated 2021-12)",IM-3002901020-198801,2,3002.90.00.90,"Human blood;animal blood therapeutic/diagnostic,etc;antisera,etc;vaccines,etc;cell culture,not elsewhere specified",2017-01,2021-12,active,,2022-01,2026-06
IMR-3002200010-198802,"3002.20.00.10 - Vaccines against influenza virus, for human use (Terminated 2021-12)",IM-3002200010-198802,1,3002.20.00.10,"Vaccines against influenza virus, for human use",1988-02,2021-12,succeeded,3002.41.00.10,1988-02,2021-12
