uid,orig_commodity,family_id,step_number,hs_code,description,orig_first_period,orig_last_period,step_status,next_hs_code,step_first_period,step_last_period
EXR-30023900-198801,"3002.39.00 - Vaccines, veterinary use, nes (Terminated 1995-12)",EX-30023100-198801,4,3002.42.00,"Vaccines, for veterinary medecine",1988-01,1995-12,active,,2022-01,2026-06
EXR-30024100-202201,"3002.41.00 - Vaccines, for human medicine",EX-30022000-198801,1,3002.41.00,"Vaccines, for human medicine",2022-01,2026-06,active,,2022-01,2026-06
EXR-30024200-202201,"3002.42.00 - Vaccines, for veterinary medecine",EX-30023100-198801,1,3002.42.00,"Vaccines, for veterinary medecine",2022-01,2026-06,active,,2022-01,2026-06
EXR-30024900-202201,"3002.49.00 - Vaccines,toxins, cultures of micro-organisms (excl yeasts) and sim products, nes",EX-30024900-202201,1,3002.49.00,"Vaccines,toxins, cultures of micro-organisms (excl yeasts) and similar products, not elsewhere specified",2022-01,2026-06,active,,2022-01,2026-06
EXR-30025100-202202,"3002.51.00 - Cell therapy products, whether or not modified",EX-30025100-202202,1,3002.51.00,"Cell therapy products, whether or not modified",2022-02,2026-06,active,,2022-02,2026-06
EXR-30025900-202202,"3002.59.00 - Cell cultures, whether or not modified, nes",EX-30025900-202202,1,3002.59.00,"Cell cultures, whether or not modified, not elsewhere specified",2022-02,2026-06,active,,2022-02,2026-06
EXR-30029000-198901,"3002.90.00 - Human blood;animal blood for therap,prophtc or diag uses; microbial prep nes (Terminated 1996-12)",EX-30029010-198801,1,3002.90.00,"Human blood;animal blood for therapeutic,prophylactic or diagnostic uses; microbial preparation not elsewhere specified",1989-01,1996-12,succeeded,3002.90.90,1989-01,1996-12
EXR-30029000-198901,"3002.90.00 - Human blood;animal blood for therap,prophtc or diag uses; microbial prep nes (Terminated 1996-12)",EX-30029010-198801,2,3002.90.90,"Human blood;animal blood therapeutic/diagnostic,etc;antisera,etc;vaccines,etc;cell culture,not elsewhere specified",1989-01,1996-12,active,,1997-01,2026-06
EXR-30029010-198801,"3002.90.10 - Human blood;animal blood for therap,prophtc/diag use; microbial prep,human use",EX-30029010-198801,1,3002.90.10,"Human blood;animal blood for therapeutic,prophylactic/diagnostic use; microbial preparation,human use",1988-01,1988-12,succeeded,3002.90.00,1988-01,1988-12
EXR-30029010-198801,"3002.90.10 - Human blood;animal blood for therap,prophtc/diag use; microbial prep,human use",EX-30029010-198801,2,3002.90.00,"Human blood;animal blood for therapeutic,prophylactic or diagnostic uses; microbial preparation not elsewhere specified",1988-01,1988-12,succeeded,3002.90.90,1989-01,1996-12
EXR-30029010-198801,"3002.90.10 - Human blood;animal blood for therap,prophtc/diag use; microbial prep,human use",EX-30029010-198801,3,3002.90.90,"Human blood;animal blood therapeutic/diagnostic,etc;antisera,etc;vaccines,etc;cell culture,not elsewhere specified",1988-01,1988-12,active,,1997-01,2026-06
EXR-30029010-199712,3002.90.10 - Ricin,EX-30029010-199712,1,3002.90.10,Ricin,1997-12,2026-06,active,,1997-12,2026-06
EXR-30029020-198801,"3002.90.20 - Human blood;animal blood for therap,prophtc/diag use;microbial prep nes,vet use (Terminated 2016-12)",EX-30029010-198801,1,3002.90.20,"Human blood;animal blood for therapeutic,prophylactic/diagnostic use;microbial preparation not elsewhere specified,veterinary use",1988-01,1988-12,succeeded,3002.90.00,1988-01,1988-12
EXR-30029020-198801,"3002.90.20 - Human blood;animal blood for therap,prophtc/diag use;microbial prep nes,vet use (Terminated 2016-12)",EX-30029010-198801,2,3002.90.00,"Human blood;animal blood for therapeutic,prophylactic or diagnostic uses; microbial preparation not elsewhere specified",1988-01,1988-12,succeeded,3002.90.90,1989-01,1996-12
EXR-30029020-198801,"3002.90.20 - Human blood;animal blood for therap,prophtc/diag use;microbial prep nes,vet use (Terminated 2016-12)",EX-30029010-198801,3,3002.90.90,"Human blood;animal blood therapeutic/diagnostic,etc;antisera,etc;vaccines,etc;cell culture,not elsewhere specified",1988-01,1988-12,active,,1997-01,2026-06
EXR-30029020-199705,3002.90.20 - Saxitoxin (Terminated 2016-12),EX-30029010-198801,1,3002.90.20,Saxitoxin,1997-05,2016-11,succeeded,3002.90.90,1997-05,2016-11
EXR-30029020-199705,3002.90.20 - Saxitoxin (Terminated 2016-12),EX-30029010-198801,2,3002.90.90,"Human blood;animal blood therapeutic/diagnostic,etc;antisera,etc;vaccines,etc;cell culture,not elsewhere specified",1997-05,2016-11,active,,2012-01,2026-06
EXR-30029090-199701,"3002.90.90 - Human blood;animal blood for therap,prophtc or diag uses; microbial prep, nes",EX-30029010-198801,1,3002.90.90,"Human blood;animal blood therapeutic/diagnostic,etc;antisera,etc;vaccines,etc;cell culture,not elsewhere specified",1997-01,2011-12,active,,1997-01,2026-06
EXR-30029090-201201,"3002.90.90 - Human blood; animal blood for therap/prophltc/diag uses;micro-organisms cult,nes",EX-30029010-198801,1,3002.90.90,"Human blood;animal blood therapeutic/diagnostic,etc;antisera,etc;vaccines,etc;cell culture,not elsewhere specified",2012-01,2016-12,active,,2012-01,2026-06
EXR-30029090-201701,"3002.90.90 - Human blood;anml blood therap/prophltc/diag uses;toxins,micro-orga cult,sim,nes",EX-30029010-198801,1,3002.90.90,"Human blood;animal blood therapeutic/diagnostic,etc;antisera,etc;vaccines,etc;cell culture,not elsewhere specified",2017-01,2021-12,active,,2017-01,2026-06
EXR-30029090-202201,"3002.90.90 - Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",EX-30029010-198801,1,3002.90.90,"Human blood;animal blood therapeutic/diagnostic,etc;antisera,etc;vaccines,etc;cell culture,not elsewhere specified",2022-01,2026-06,active,,2022-01,2026-06
EXR-30031000-198801,"3003.10.00 - Penicillins or streptomycins and their derivatives, formulated, in bulk",EX-30031000-198801,1,3003.10.00,"Medicaments,containing penicillins/derivative with penicillanic acid structure, streptomycins/derivative,not for retail sale",1988-01,2000-12,not_a_retirement,,1988-01,2026-05
EXR-30031000-200204,"3003.10.00 - Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,nfrs",EX-30031000-198801,1,3003.10.00,"Medicaments,containing penicillins/derivative with penicillanic acid structure, streptomycins/derivative,not for retail sale",2002-04,2026-05,not_a_retirement,,2002-04,2026-05
EXR-30032000-198801,"3003.20.00 - Antibiotics nes, formulated, in bulk",EX-30032000-198801,1,3003.20.00,"Medicaments,containing antibiotics,not elsewhere specified,mixed,for therapeutic/prophylactic,not for retail sale,other than products of headings 30.02, 30.05, 30.06",1988-01,2001-12,active,,1988-01,2026-06
EXR-30032000-200201,"3003.20.00 - Medicaments,cont antibiotics,nes,mix,for therap/prophltc,nfrs,o/t No 30.02/05/06",EX-30032000-198801,1,3003.20.00,"Medicaments,containing antibiotics,not elsewhere specified,mixed,for therapeutic/prophylactic,not for retail sale,other than products of headings 30.02, 30.05, 30.06",2002-01,2026-06,active,,2002-01,2026-06
EXR-30033100-198801,"3003.31.00 - Insulin, formulated, in bulk",EX-30033100-198801,1,3003.31.00,"Insulin, formulated, in bulk",1988-01,1993-04,succeeded,3003.90.00,1988-01,1993-04
EXR-30033100-198801,"3003.31.00 - Insulin, formulated, in bulk",EX-30033100-198801,2,3003.90.00,"Medicaments, not elsewhere specified,mixed,therapeutic/prophylactic uses,not for retail sale,other than products of headings 30.02, 30.05, 30.06",1988-01,1993-04,active,,1988-01,2026-06
EXR-30033100-200203,"3003.31.00 - Medicaments,cont insulin,mixed,not in doses/forms/pack/frs,o/t No 30.02/05/06",EX-30033100-200203,1,3003.31.00,"Medicaments,containing insulin,mixed,not in doses/forms/pack/for retail sale,other than products of headings 30.02, 30.05, 30.06",2002-03,2025-05,not_a_retirement,,2002-03,2025-05
