flow,v1_uid,v1_family_id,v1_hs_code,v1_first_period,v1_last_period,v1_description,v2_record_id,v2_family_id,v2_hs_code,v2_first_period,v2_last_period,matched_on,note
imports,IMR_0323,IM_0183,3004.90.00.43,201701,202512,"Antacids, for human use, in doses/packings for retail sale, other than products of headings 30.02, 30.05, 30.06",IMR-3004900043-201701,IM-3004909923-199001,3004.90.00.43,201701,202606,code and first month,
imports,IMR_0324,IM_0181,3004.90.00.49,199801,201112,"Gastro-intestinal agents, for human use, in dosage, not elsewhere specified",IMR-3004900049-199801,IM-3004909921-198801,3004.90.00.49,199801,201112,code and first month,
imports,IMR_0325,IM_0181,3004.90.00.49,201701,202512,"Gastrointestinal agents, for human use, in doses/pack for retail sale,other than products of headings 30.02, 30.05, 30.06,not elsewhere specified",IMR-3004900049-201701,IM-3004909921-198801,3004.90.00.49,201701,202606,code and first month,
imports,IMR_0326,IM_0181,3004.90.00.49,201201,201612,"Other gastrointestinal agents, for human use, in dosage, not elsewhere specified",IMR-3004900049-201201,IM-3004909921-198801,3004.90.00.49,201201,201612,code and first month,
imports,IMR_0327,IM_0185,3004.90.00.50,201701,202512,"Medicaments,for human use,acting on cardio-vascular system,doses/for retail sale,other than products of headings 30.02, 30.05, 30.06",IMR-3004900050-201701,IM-3004909930-198801,3004.90.00.50,201701,202606,code and first month,
imports,IMR_0328,IM_0185,3004.90.00.50,199801,201612,"Medicaments, for human use, acting on the cardio-vascular system, in dosage",IMR-3004900050-199801,IM-3004909930-198801,3004.90.00.50,199801,201612,code and first month,
imports,IMR_0329,IM_0186,3004.90.00.61,199801,201612,"Anti-infective agents, containing sulfonamides, for human use, in dosage",IMR-3004900061-199801,IM-3004909941-199001,3004.90.00.61,199801,201612,code and first month,
imports,IMR_0330,IM_0186,3004.90.00.61,201701,202512,"Anti-infective agents,containing sulfonamides,for human use,doses/for retail sale,other than products of headings 30.02, 30.05, 30.06",IMR-3004900061-201701,IM-3004909941-199001,3004.90.00.61,201701,202606,code and first month,
imports,IMR_0331,IM_0187,3004.90.00.69,199801,201612,"Anti-infective agents, for human use, in dosage, not elsewhere specified",IMR-3004900069-199801,IM-3004909940-198801,3004.90.00.69,199801,201612,code and first month,
imports,IMR_0332,IM_0187,3004.90.00.69,201701,202512,"Anti-infective agents, for human use, in doses/pack for retail sale, other than products of headings 30.02, 30.05, 30.06, not elsewhere specified",IMR-3004900069-201701,IM-3004909940-198801,3004.90.00.69,201701,202606,code and first month,
imports,IMR_0333,IM_0188,3004.90.00.71,199801,201612,"Haematological agents, for human use, in dosage",IMR-3004900071-199801,IM-3004909950-198801,3004.90.00.71,199801,201612,code and first month,
imports,IMR_0334,IM_0188,3004.90.00.71,201701,202512,"Haematological agents, for human use, in doses/packings for retail sale, other than products of headings 30.02, 30.05, 30.06",IMR-3004900071-201701,IM-3004909950-198801,3004.90.00.71,201701,202606,code and first month,
imports,IMR_0335,IM_0189,3004.90.00.72,199801,201612,"Antineoplastic agents, for human use, in dosage",IMR-3004900072-199801,IM-3004909960-198801,3004.90.00.72,199801,201612,code and first month,
imports,IMR_0336,IM_0189,3004.90.00.72,201701,202512,"Antineoplastic agents, for human use, in doses/packings for retail sale, other than products of headings 30.02, 30.05, 30.06",IMR-3004900072-201701,IM-3004909960-198801,3004.90.00.72,201701,202606,code and first month,
imports,IMR_0337,IM_0190,3004.90.00.73,199801,201612,"Cough or cold preparations, for human use, in dosage",IMR-3004900073-199801,IM-3004909971-199001,3004.90.00.73,199801,201612,code and first month,
imports,IMR_0338,IM_0190,3004.90.00.73,201701,202512,"Cough/cold preparations, for human use, in doses/packings for retail sale,other than products of headings 30.02, 30.05, 30.06",IMR-3004900073-201701,IM-3004909971-199001,3004.90.00.73,201701,202606,code and first month,
imports,IMR_0339,IM_0191,3004.90.00.74,201701,202512,"Medicaments,primarily for eyes/ears/respiratory system,human use,doses/for retail sale,other than products of headings 30.02, 30.05, 30.06",IMR-3004900074-201701,IM-3004909979-199001,3004.90.00.74,201701,202606,code and first month,
imports,IMR_0340,IM_0191,3004.90.00.74,201201,201612,"Medicaments, primarily affecting eyes, ears&respiratory system, human use,in dosage,not elsewhere specified",IMR-3004900074-201201,IM-3004909979-199001,3004.90.00.74,201201,201612,code and first month,
