uid,orig_hs_code,family_id,resolution_source,resolution_detail,official_adjudicated,official_agrees,boundary_crossed,confidence_tier,departure_from_official
IMR-3002150000-201701,3002.15.00.00,IM-3002150000-201701,never_retired,,not_applicable,,not_applicable,,
IMR-3002190000-201701,3002.19.00.00,IM-3002901020-198801,analyst,the analyst rejected the proposal and named 3002.90.00.90 instead,no,,yes,reject_named,
IMR-3002200010-198802,3002.20.00.10,IM-3002200010-198802,analyst,the analyst accepted the proposal,no,,yes,approve,
IMR-3002200020-198801,3002.20.00.20,IM-3002200020-198801,analyst;official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012 | the analyst rejected the proposal and named 3002.41.00.90 instead",yes,yes,yes,decided;reject_named,
IMR-3002200030-198801,3002.20.00.30,IM-3002200020-198801,analyst;official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012 | the analyst rejected the proposal and named 3002.41.00.90 instead",yes,yes,yes,decided;reject_named,
IMR-3002200090-198801,3002.20.00.90,IM-3002200020-198801,analyst,the analyst rejected the proposal and named 3002.41.00.90 instead,no,,yes,reject_named,
IMR-3002300010-199801,3002.30.00.10,IM-3002391000-198801,analyst,the analyst accepted the proposal,no,,yes,approve,
IMR-3002300090-199801,3002.30.00.90,IM-3002310000-198801,analyst,the analyst accepted the proposal,no,,yes,approve,
IMR-3002301000-199601,3002.30.10.00,IM-3002391000-198801,analyst,the analyst accepted the proposal | the analyst accepted the proposal,no,,yes,approve,
IMR-3002309000-199601,3002.30.90.00,IM-3002310000-198801,analyst,the analyst accepted the proposal | the analyst accepted the proposal,no,,yes,approve,
IMR-3002310000-198801,3002.31.00.00,IM-3002310000-198801,analyst,the analyst accepted the proposal | the analyst accepted the proposal | the analyst accepted the proposal,no,,yes,approve,
IMR-3002391000-198801,3002.39.10.00,IM-3002391000-198801,analyst,the analyst accepted the proposal | the analyst accepted the proposal | the analyst accepted the proposal,no,,yes,approve,
IMR-3002399000-198801,3002.39.90.00,IM-3002310000-198801,analyst,the analyst accepted the proposal | the analyst accepted the proposal | the analyst accepted the proposal,no,,yes,approve,
IMR-3002410010-202201,3002.41.00.10,IM-3002200010-198802,never_retired,,not_applicable,,not_applicable,,
IMR-3002410090-202201,3002.41.00.90,IM-3002200020-198801,never_retired,,not_applicable,,not_applicable,,
IMR-3002420010-202201,3002.42.00.10,IM-3002391000-198801,never_retired,,not_applicable,,not_applicable,,
IMR-3002420090-202201,3002.42.00.90,IM-3002310000-198801,never_retired,,not_applicable,,not_applicable,,
