uid,orig_commodity,orig_hs_code,orig_description,orig_first_period,orig_last_period,family_id,latest_commodity,latest_hs_code,latest_description,latest_status,v1_uid,v1_family_id
IMR-3002100060-200302,3002.10.00.60 - Modified immunological products (Terminated 2011-12),3002.10.00.60,Modified immunological products,2003-02,2011-12,IM-3002901020-198801,"3002.90.00.90 - Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",3002.90.00.90,"Human blood;animal blood therapeutic/diagnostic,etc;antisera,etc;vaccines,etc;cell culture,not elsewhere specified",active,IMR_0024,IM_0018
IMR-3002100090-201201,"3002.10.00.90 - Antisera,o blood fract,immunological prod,w/n mod/obt biotechnological proc,nes (Terminated 2016-12)",3002.10.00.90,"Antisera,other blood fractions,immunological prod,whether or not mod/obtained biotechnological process,not elsewhere specified",2012-01,2016-12,IM-3002901020-198801,"3002.90.00.90 - Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",3002.90.00.90,"Human blood;animal blood therapeutic/diagnostic,etc;antisera,etc;vaccines,etc;cell culture,not elsewhere specified",active,IMR_0025,IM_0018
IMR-3002101010-198801,"3002.10.10.10 - Antisera & o blood fractions, human origin, for diagnostic use (Terminated 1997-12)",3002.10.10.10,"Antisera & other blood fractions, human origin, for diagnostic use",1988-01,1997-12,IM-3002101010-198801,"3002.12.00.11 - Human antisera and other human blood fractions, for diagnostic use",3002.12.00.11,"Human antisera and other human blood fractions, for diagnostic use",active,IMR_0026,IM_0007
IMR-3002101021-198801,"3002.10.10.21 - Blood plasma, for therapeutic or prophylactic use in humans (Terminated 1997-12)",3002.10.10.21,"Blood plasma, for therapeutic or prophylactic use in humans",1988-01,1997-12,IM-3002101021-198801,"3002.12.00.12 - Human blood plasma, for therapeutic/prophylactic/other uses",3002.12.00.12,"Human blood plasma, for therapeutic/prophylactic/other uses",active,IMR_0027,IM_0008
IMR-3002101022-198801,"3002.10.10.22 - Normal serum globulin, for therapeutic or prophylactic use in humans (Terminated 1997-12)",3002.10.10.22,"Normal serum globulin, for therapeutic or prophylactic use in humans",1988-01,1997-12,IM-3002101022-198801,"3002.12.00.19 - Human antisera and other human blood fractions, nes",3002.12.00.19,"Human antisera and other human blood fractions, not elsewhere specified",active,IMR_0028,IM_0009
IMR-3002101023-199001,"3002.10.10.23 - Immune serum globulin, for therapeutic or prophylactic use in humans (Terminated 1997-12)",3002.10.10.23,"Immune serum globulin, for therapeutic or prophylactic use in humans",1990-01,1997-12,IM-3002101023-199001,"3002.12.00.13 - Human immune globulin, for therapeutic/prophylactic/other uses",3002.12.00.13,"Human immune globulin, for therapeutic/prophylactic/other uses",active,IMR_0029,IM_0009
IMR-3002101029-198801,"3002.10.10.29 - Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes (Terminated 1997-12)",3002.10.10.29,"Antisera & other blood fractions, human origin, therapeutic/prophylactic use in humans,not elsewhere specified",1988-01,1997-12,IM-3002101022-198801,"3002.12.00.19 - Human antisera and other human blood fractions, nes",3002.12.00.19,"Human antisera and other human blood fractions, not elsewhere specified",active,IMR_0030,IM_0008
IMR-3002101090-198801,"3002.10.10.90 - Antisera & o blood fractions, of human origin, for other uses (Terminated 1997-12)",3002.10.10.90,"Antisera & other blood fractions, of human origin, for other uses",1988-01,1997-12,IM-3002101022-198801,"3002.12.00.19 - Human antisera and other human blood fractions, nes",3002.12.00.19,"Human antisera and other human blood fractions, not elsewhere specified",active,IMR_0031,IM_0007
IMR-3002102110-198801,"3002.10.21.10 - Bovine albumin, for parenteral administration in humans (Terminated 1997-12)",3002.10.21.10,"Bovine albumin, for parenteral administration in humans",1988-01,1997-12,IM-3002102110-198801,"3002.12.00.21 - Animal antisera and other animal blood fractions, for use in humans",3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",active,IMR_0032,IM_0013
IMR-3002102120-198801,"3002.10.21.20 - Sera and antisera, of animal origin, for parenteral administration in humans (Terminated 1997-12)",3002.10.21.20,"Sera and antisera, of animal origin, for parenteral administration in humans",1988-01,1997-12,IM-3002102110-198801,"3002.12.00.21 - Animal antisera and other animal blood fractions, for use in humans",3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",active,IMR_0033,IM_0013
IMR-3002102190-198801,"3002.10.21.90 - Blood albumin nes, of animal origin, for parenteral administration in humans (Terminated 1997-12)",3002.10.21.90,"Blood albumin not elsewhere specified, of animal origin, for parenteral administration in humans",1988-01,1997-12,IM-3002102110-198801,"3002.12.00.21 - Animal antisera and other animal blood fractions, for use in humans",3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",active,IMR_0034,IM_0013
IMR-3002102910-198801,"3002.10.29.10 - Blood fractions, nes, for use in humans (Terminated 1997-12)",3002.10.29.10,"Blood fractions, not elsewhere specified, for use in humans",1988-01,1997-12,IM-3002102110-198801,"3002.12.00.21 - Animal antisera and other animal blood fractions, for use in humans",3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",active,IMR_0035,IM_0013
IMR-3002102920-198801,"3002.10.29.20 - Blood fractions, nes, for use in animals (Terminated 1991-06)",3002.10.29.20,"Blood fractions, not elsewhere specified, for use in animals",1988-01,1991-04,IM-3002102920-198801,"3002.12.00.29 - Animal antisera and other animal blood fractions, nes",3002.12.00.29,"Animal antisera and other animal blood fractions, not elsewhere specified",active,IMR_0036,IM_0020
IMR-3002102990-198801,"3002.10.29.90 - Blood fractions, nes (Terminated 1997-12)",3002.10.29.90,"Blood fractions, not elsewhere specified",1988-01,1997-12,IM-3002102920-198801,"3002.12.00.29 - Animal antisera and other animal blood fractions, nes",3002.12.00.29,"Animal antisera and other animal blood fractions, not elsewhere specified",active,IMR_0037,IM_0017
IMR-3002110000-201701,3002.11.00.00 - Malaria diagnostic test kits (Terminated 2021-12),3002.11.00.00,Malaria diagnostic test kits,2017-01,2021-12,IM-3002110000-201701,3002.11.00.00 - Malaria diagnostic test kits (Terminated 2021-12),3002.11.00.00,Malaria diagnostic test kits,left_chapter,IMR_0038,IM_0021
IMR-3002120011-201701,"3002.12.00.11 - Human antisera and other human blood fractions, for diagnostic use",3002.12.00.11,"Human antisera and other human blood fractions, for diagnostic use",2017-01,2026-06,IM-3002101010-198801,"3002.12.00.11 - Human antisera and other human blood fractions, for diagnostic use",3002.12.00.11,"Human antisera and other human blood fractions, for diagnostic use",active,IMR_0039,IM_0007
IMR-3002120012-201701,"3002.12.00.12 - Human blood plasma, for therapeutic/prophylactic/other uses",3002.12.00.12,"Human blood plasma, for therapeutic/prophylactic/other uses",2017-01,2026-06,IM-3002101021-198801,"3002.12.00.12 - Human blood plasma, for therapeutic/prophylactic/other uses",3002.12.00.12,"Human blood plasma, for therapeutic/prophylactic/other uses",active,IMR_0040,IM_0008
IMR-3002120013-201701,"3002.12.00.13 - Human immune globulin, for therapeutic/prophylactic/other uses",3002.12.00.13,"Human immune globulin, for therapeutic/prophylactic/other uses",2017-01,2026-06,IM-3002101023-199001,"3002.12.00.13 - Human immune globulin, for therapeutic/prophylactic/other uses",3002.12.00.13,"Human immune globulin, for therapeutic/prophylactic/other uses",active,IMR_0041,IM_0009
IMR-3002120019-201701,"3002.12.00.19 - Human antisera and other human blood fractions, nes",3002.12.00.19,"Human antisera and other human blood fractions, not elsewhere specified",2017-01,2026-06,IM-3002101022-198801,"3002.12.00.19 - Human antisera and other human blood fractions, nes",3002.12.00.19,"Human antisera and other human blood fractions, not elsewhere specified",active,IMR_0042,IM_0017
IMR-3002120021-201701,"3002.12.00.21 - Animal antisera and other animal blood fractions, for use in humans",3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",2017-01,2026-06,IM-3002102110-198801,"3002.12.00.21 - Animal antisera and other animal blood fractions, for use in humans",3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",active,IMR_0043,IM_0013
IMR-3002120029-201701,"3002.12.00.29 - Animal antisera and other animal blood fractions, nes",3002.12.00.29,"Animal antisera and other animal blood fractions, not elsewhere specified",2017-01,2026-06,IM-3002102920-198801,"3002.12.00.29 - Animal antisera and other animal blood fractions, nes",3002.12.00.29,"Animal antisera and other animal blood fractions, not elsewhere specified",active,IMR_0044,IM_0020
IMR-3002130000-201701,"3002.13.00.00 - Immunological products, unmixed, not put up in measured doses/forms/packings frs",3002.13.00.00,"Immunological products, unmixed, not put up in measured doses/forms/packings for retail sale",2017-01,2026-06,IM-3002130000-201701,"3002.13.00.00 - Immunological products, unmixed, not put up in measured doses/forms/packings frs",3002.13.00.00,"Immunological products, unmixed, not put up in measured doses/forms/packings for retail sale",active,IMR_0045,IM_0028
IMR-3002140000-201701,"3002.14.00.00 - Immunological products,mixed,not put in measured doses/forms/packings f ret sale",3002.14.00.00,"Immunological products,mixed,not put in measured doses/forms/packings for ret sale",2017-01,2026-06,IM-3002140000-201701,"3002.14.00.00 - Immunological products,mixed,not put in measured doses/forms/packings f ret sale",3002.14.00.00,"Immunological products,mixed,not put in measured doses/forms/packings for ret sale",active,IMR_0046,IM_0029
IMR-3002150000-201701,"3002.15.00.00 - Immunological products, put up in measured doses/forms/packings, for retail sale",3002.15.00.00,"Immunological products, put up in measured doses/forms/packings, for retail sale",2017-01,2026-06,IM-3002150000-201701,"3002.15.00.00 - Immunological products, put up in measured doses/forms/packings, for retail sale",3002.15.00.00,"Immunological products, put up in measured doses/forms/packings, for retail sale",active,IMR_0047,IM_0030
IMR-3002190000-201701,"3002.19.00.00 - Immunological products, nes, w/n modified/obtained by biotechnological processes (Terminated 2021-12)",3002.19.00.00,"Immunological products, not elsewhere specified, whether or not modified/obtained by biotechnological processes",2017-01,2021-12,IM-3002901020-198801,"3002.90.00.90 - Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",3002.90.00.90,"Human blood;animal blood therapeutic/diagnostic,etc;antisera,etc;vaccines,etc;cell culture,not elsewhere specified",active,IMR_0048,IM_0018
IMR-3002200010-198802,"3002.20.00.10 - Vaccines against influenza virus, for human use (Terminated 2021-12)",3002.20.00.10,"Vaccines against influenza virus, for human use",1988-02,2021-12,IM-3002200010-198802,"3002.41.00.10 - Vaccines, for against influenza virus, human medicine",3002.41.00.10,"Vaccines, for against influenza virus, human medicine",active,IMR_0049,IM_0032
IMR-3002200020-198801,"3002.20.00.20 - Vaccines against rubella (german measles), for human use (Terminated 2011-12)",3002.20.00.20,"Vaccines against rubella (german measles), for human use",1988-01,2011-12,IM-3002200020-198801,"3002.41.00.90 - Vaccines, o/t for against influenza virus, human medicine, nes",3002.41.00.90,"Vaccines, other than for against influenza virus, human medicine, not elsewhere specified",active,IMR_0050,IM_0033
IMR-3002200030-198801,"3002.20.00.30 - Vaccines against rabies, for human use (Terminated 2011-12)",3002.20.00.30,"Vaccines against rabies, for human use",1988-01,2011-11,IM-3002200020-198801,"3002.41.00.90 - Vaccines, o/t for against influenza virus, human medicine, nes",3002.41.00.90,"Vaccines, other than for against influenza virus, human medicine, not elsewhere specified",active,IMR_0051,IM_0033
IMR-3002200090-198801,"3002.20.00.90 - Vaccines, nes, for human medicine (Terminated 2021-12)",3002.20.00.90,"Vaccines, not elsewhere specified, for human medicine",1988-01,2021-12,IM-3002200020-198801,"3002.41.00.90 - Vaccines, o/t for against influenza virus, human medicine, nes",3002.41.00.90,"Vaccines, other than for against influenza virus, human medicine, not elsewhere specified",active,IMR_0052,IM_0033
IMR-3002300010-199801,3002.30.00.10 - Vacc agnst foot and mth disse; vacc prepr for parentl admin; bovi intrnsl vacc (Terminated 2021-12),3002.30.00.10,Vacc agnst foot and mth disse; vacc prepared for parenteral administration; bovi intrnsl vacc,1998-01,2021-12,IM-3002391000-198801,3002.42.00.10 - Vaccines agnst foot and mth disse;vacc prepr for parentl admin;bovi intrnsl vacc,3002.42.00.10,Vaccines agnst foot and mth disse;vacc prepared for parenteral administration;bovi intrnsl vacc,active,IMR_0053,IM_0036
IMR-3002300090-199801,"3002.30.00.90 - Vaccines, veterinary use, nes (Terminated 2021-12)",3002.30.00.90,"Vaccines, veterinary use, not elsewhere specified",1998-01,2021-12,IM-3002310000-198801,"3002.42.00.90 - Vaccines, veterinary use, nes",3002.42.00.90,"Vaccines, veterinary use, not elsewhere specified",active,IMR_0054,IM_0037
IMR-3002301000-199601,3002.30.10.00 - Vacc agnst foot and mth disse; vacc prepr for parentl admin; bovi intrnsl vacc (Terminated 1997-12),3002.30.10.00,Vacc agnst foot and mth disse; vacc prepared for parenteral administration; bovi intrnsl vacc,1996-01,1997-12,IM-3002391000-198801,3002.42.00.10 - Vaccines agnst foot and mth disse;vacc prepr for parentl admin;bovi intrnsl vacc,3002.42.00.10,Vaccines agnst foot and mth disse;vacc prepared for parenteral administration;bovi intrnsl vacc,active,IMR_0055,IM_0036
IMR-3002309000-199601,"3002.30.90.00 - Vaccines, veterinary use, nes (Terminated 1997-12)",3002.30.90.00,"Vaccines, veterinary use, not elsewhere specified",1996-01,1997-12,IM-3002310000-198801,"3002.42.00.90 - Vaccines, veterinary use, nes",3002.42.00.90,"Vaccines, veterinary use, not elsewhere specified",active,IMR_0056,IM_0037
IMR-3002310000-198801,"3002.31.00.00 - Vaccines against foot or mouth disease, veterinary use (Terminated 1995-12)",3002.31.00.00,"Vaccines against foot or mouth disease, veterinary use",1988-01,1995-07,IM-3002310000-198801,"3002.42.00.90 - Vaccines, veterinary use, nes",3002.42.00.90,"Vaccines, veterinary use, not elsewhere specified",active,IMR_0057,IM_0037
IMR-3002391000-198801,"3002.39.10.00 - Vaccines nes, prepared for parenteral admin in animal; bovine intranasal vaccine (Terminated 1995-12)",3002.39.10.00,"Vaccines not elsewhere specified, prepared for parenteral administration in animal; bovine intranasal vaccine",1988-01,1995-12,IM-3002391000-198801,3002.42.00.10 - Vaccines agnst foot and mth disse;vacc prepr for parentl admin;bovi intrnsl vacc,3002.42.00.10,Vaccines agnst foot and mth disse;vacc prepared for parenteral administration;bovi intrnsl vacc,active,IMR_0058,IM_0036
IMR-3002399000-198801,"3002.39.90.00 - Vaccines, veterinary use, nes (Terminated 1995-12)",3002.39.90.00,"Vaccines, veterinary use, not elsewhere specified",1988-01,1995-12,IM-3002310000-198801,"3002.42.00.90 - Vaccines, veterinary use, nes",3002.42.00.90,"Vaccines, veterinary use, not elsewhere specified",active,IMR_0059,IM_0037
