flow,v1_uid,v1_family_id,v1_hs_code,v1_first_period,v1_last_period,v1_description,v2_record_id,v2_family_id,v2_hs_code,v2_first_period,v2_last_period,matched_on,note
exports,EXR_0048,EX_0034,3004.32.00,200001,200112,"Adrenal cortical hormones, not containing antibiotics, in dosage",EXR-30043200-198901,EX-30043210-198801,3004.32.00,198901,200112,code and last month,
exports,EXR_0049,EX_0034,3004.32.00,200201,202602,"Medicaments,containing corticosteroid hormone/derivative/structure analog,in doses/for retail sale,other than products of headings 30.02, 30.05, 30.06",EXR-30043200-200201,EX-30043210-198801,3004.32.00,200201,202606,code and first month,
exports,EXR_0050,EX_0035,3004.39.00,200001,200112,"Hormones not elsewhere specified, not containing antibiotics, in dosage,other than contraceptive",EXR-30043900-198901,EX-30043910-198801,3004.39.00,198901,200112,code and last month,
exports,EXR_0051,EX_0035,3004.39.00,200201,202602,"Medicaments,containing hormone/prostaglandins/thromboxanes/leukotrienes/derivative/analogues,not elsewhere specified,for retail sale",EXR-30043900-200201,EX-30043910-198801,3004.39.00,200201,202606,code and first month,
exports,EXR_0052,EX_0036,3004.40.00,200001,201612,"Alkaloids or their derivatives, not cntg antibiotics or hormones, in dosage",EXR-30044000-198801,EX-30044000-198801,3004.40.00,198801,201612,code and last month,
exports,EXR_0053,EX_0037,3004.41.00,201701,202601,"Medicaments,containing ephedrin/salts,therapeutic/prophylactic,in doses/for retail sale,other than products of headings 30.02, 30.05, 30.06",EXR-30044100-201701,EX-30044100-201701,3004.41.00,201701,202605,code and first month,
exports,EXR_0054,EX_0038,3004.42.00,201701,202602,"Medicaments,containing pseudoephedrine/salts,therapeutic/prophylactic,in doses/for retail sale,other than products of headings 30.02, 30.05, 30.06",EXR-30044200-201701,EX-30044200-201701,3004.42.00,201701,202606,code and first month,
exports,EXR_0055,EX_0039,3004.43.00,201703,202203,"Medicaments,containing norephedrine/salts,therapeutic/prophylactic,in doses/for retail sale,other than products of headings 30.02, 30.05, 30.06",EXR-30044300-201703,EX-30044300-201703,3004.43.00,201703,202203,code and first month,
exports,EXR_0056,EX_0036,3004.49.00,201701,202602,"Medicaments,containing alkaloids/derivative thereof,not elsewhere specified,therapeutic/prophylactic,doses/for retail sale,other than products of headings 30.02, 30.05, 30.06",EXR-30044900-201701,EX-30044000-198801,3004.49.00,201701,202606,code and first month,
exports,EXR_0057,EX_0041,3004.50.00,200201,202602,"Medicaments,containing vitamins/provitamins/derivative,in doses/pack/for retail sale,other than products of headings 30.02, 30.05, 30.06",EXR-30045000-200201,EX-30045010-198801,3004.50.00,200201,202606,code and first month,
exports,EXR_0058,EX_0041,3004.50.00,200001,200112,"Vitamins and their derivatives,in dosage",EXR-30045000-198901,EX-30045010-198801,3004.50.00,198901,200112,code and last month,
exports,EXR_0059,EX_0042,3004.60.00,201701,202602,"Medicaments,containing antimalarial active principles,in doses/for retail sale,other than products of headings 30.02, 30.05, 30.06",EXR-30046000-201701,EX-30046000-201701,3004.60.00,201701,202606,code and first month,
exports,EXR_0060,EX_0043,3004.90.00,200001,201612,"Medicaments not elsewhere specified, in dosage",EXR-30049000-198901,EX-30049010-198801,3004.90.00,198901,201612,code and last month,
